decision_id,cluster_id,application,regime,environment_seed,predicted_action,predicted_action_effect,oracle_action,oracle_effect,regret
commercial|compound|private_fragmented|66101|0|commercial_incident_01|commercial_warehouse_01_3,commercial|compound|private_fragmented|66101,commercial,compound,66101,deploy_repair_capacity,0.16181509234656696,authorize_emergency_resource,0.4443881197011477,0.2825730273545808
commercial|compound|private_fragmented|66101|0|commercial_incident_02|commercial_carrier_02_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,deploy_repair_capacity,-0.12778334666309962,no_action,0.0,0.12778334666309962
commercial|compound|private_fragmented|66101|0|commercial_incident_03|commercial_warehouse_03_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,deploy_repair_capacity,0.13459049219507416,authorize_emergency_resource,0.3162312319931242,0.18164073979805004
commercial|compound|private_fragmented|66101|0|commercial_incident_04|commercial_retailer_04_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,authorize_emergency_resource,-0.19592991000243798,revise_commitment,0.3778171383276793,0.5737470483301172
commercial|compound|private_fragmented|66101|10|commercial_incident_01|commercial_warehouse_01_3,commercial|compound|private_fragmented|66101,commercial,compound,66101,authorize_emergency_resource,0.341774190076181,authorize_emergency_resource,0.341774190076181,0.0
commercial|compound|private_fragmented|66101|10|commercial_incident_02|commercial_carrier_02_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,no_action,0.0,no_action,0.0,0.0
commercial|compound|private_fragmented|66101|10|commercial_incident_03|commercial_supplier_03_3,commercial|compound|private_fragmented|66101,commercial,compound,66101,authorize_emergency_resource,0.328333811806964,authorize_emergency_resource,0.328333811806964,0.0
commercial|compound|private_fragmented|66101|10|commercial_incident_04|commercial_carrier_04_3,commercial|compound|private_fragmented|66101,commercial,compound,66101,revise_commitment,0.32276500881503856,revise_commitment,0.32276500881503856,0.0
commercial|compound|private_fragmented|66101|2|commercial_incident_01|commercial_carrier_01_2,commercial|compound|private_fragmented|66101,commercial,compound,66101,deploy_repair_capacity,0.18036076497901557,deploy_repair_capacity,0.18036076497901557,0.0
commercial|compound|private_fragmented|66101|2|commercial_incident_02|commercial_carrier_02_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,no_action,0.0,no_action,0.0,0.0
commercial|compound|private_fragmented|66101|2|commercial_incident_03|commercial_supplier_03_3,commercial|compound|private_fragmented|66101,commercial,compound,66101,deploy_repair_capacity,0.1507748462548661,authorize_emergency_resource,0.38786940259280245,0.23709455633793636
commercial|compound|private_fragmented|66101|2|commercial_incident_04|commercial_supplier_04_2,commercial|compound|private_fragmented|66101,commercial,compound,66101,revise_commitment,0.37038536830163254,revise_commitment,0.37038536830163254,0.0
commercial|compound|private_fragmented|66101|4|commercial_incident_01|commercial_supplier_01_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,authorize_emergency_resource,0.4394885374440558,authorize_emergency_resource,0.4394885374440558,0.0
commercial|compound|private_fragmented|66101|4|commercial_incident_02|commercial_carrier_02_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,no_action,0.0,no_action,0.0,0.0
commercial|compound|private_fragmented|66101|4|commercial_incident_03|commercial_supplier_03_3,commercial|compound|private_fragmented|66101,commercial,compound,66101,authorize_emergency_resource,0.35011698271380826,authorize_emergency_resource,0.35011698271380826,0.0
commercial|compound|private_fragmented|66101|4|commercial_incident_04|commercial_carrier_04_3,commercial|compound|private_fragmented|66101,commercial,compound,66101,revise_commitment,0.4120234984970609,revise_commitment,0.4120234984970609,0.0
commercial|compound|private_fragmented|66101|6|commercial_incident_01|commercial_supplier_01_1,commercial|compound|private_fragmented|66101,commercial,compound,66101,authorize_emergency_resource,0.4003974339191338,authorize_emergency_resource,0.4003974339191338,0.0
