application,decisions,supervised_mean_action_utility,authorized_oracle_mean_action_utility,gain_over_always_no_action,mean_regret,selected_action_diversity
commercial,4320,0.1188453634517199,0.18798279985548969,0.1188453634517199,0.0691374364037698,5
humanitarian,4320,0.1096661203138462,0.17499576625539046,0.1096661203138462,0.06532964594154425,5
utility_restoration,4320,0.08676491608910594,0.14990121840033058,0.08676491608910594,0.06313630231122465,6
