hypothesis,estimand,unit,estimate,ci_low,ci_high,independent_clusters,bootstrap_replicates,exact_one_sided_sign_flip_p,cluster_values,holm_adjusted_p
H2,field_reversal_minus_nominal_maximum_post_quench_distance,regularized_distance_units,133.80477019797726,107.9494364656719,184.07462982457469,6.0,10000.0,0.015625,"{""V14Q_g0"": 107.60769309815095, ""V14Q_g1"": 108.13932742513127, ""V14Q_g2"": 109.49546349084441, ""V14Q_g3"": 110.89399528720716, ""V14Q_g4"": 107.42322084087687, ""V14Q_g5"": 259.2689210456529}",0.046875
H3,early_recovery_peak_minus_final_five_sweep_mean_distance,regularized_distance_units,134.1103235256311,106.65373035346893,184.19621638252102,6.0,10000.0,0.015625,"{""V14Q_g0"": 101.67206941901622, ""V14Q_g1"": 111.3169660869203, ""V14Q_g2"": 111.06256976698513, ""V14Q_g3"": 111.39847394807265, ""V14Q_g4"": 112.19073382877205, ""V14Q_g5"": 257.02112810402014}",0.046875
H4,full_minus_order_only_balanced_accuracy,proportion,0.3333333333333333,0.16666666666666666,0.4583333333333333,6.0,10000.0,0.03125,"{""V14Q_g0"": 0.5, ""V14Q_g1"": 0.5, ""V14Q_g2"": 0.25, ""V14Q_g3"": 0.0, ""V14Q_g4"": 0.25, ""V14Q_g5"": 0.5}",0.046875
