run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,information_condition,sketch_policy,environment_seed,controller,step,agent_id,target,proposed_operational_action,information_action,communication_action,delegation_action,accepted_physical_action,counterfactual_evaluated,counterfactual_causal_utility,counterfactual_action_accepted,counterfactual_beneficial,counterfactual_harmful,predictive_uncertainty,action_value_margin,severity,safety_risk,resource_scarcity,shannon_local,pooled_uncertainty,js_disagreement,jt_disagreement_0_5,jt_disagreement_2,graph_disagreement,consensus,consensus_residual,entropy_slope,disagreement_slope,distributed_contributor_count,distributed_missing_agent_count,risk_kpi_confidence,risk_predictive_uncertainty,risk_shannon_js,risk_generalized_tsallis_gini,risk_graph_disagreement,risk_combined_generalized_entropic
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-10-resource_allocation,U02,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.5360673147826698,0.1823782479512761,0.004411599227871325,0.006396818880413421,0.0,0.7587395492981822,0.7587395492981822,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,1,5,0.23419812355740696,0.5360673147826698,0.40411181323761347,0.4605802096523821,0.391814938875388,0.2591997997381305
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-11-critical_load,U07,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.41412221050141484,0.46613634817734756,0.0,0.0,0.0,0.7423259693892367,0.7423259693892367,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,1,5,0.19120155157048105,0.41412221050141484,0.35123037654787514,0.3888403418452301,0.3405979950772609,0.22428755227372948
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-12-zone_operator,U00,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.4622328735560861,0.3953168576446785,0.039518403394383714,0.05730168492185639,0.0,0.7786073059663187,0.7786073059663187,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.22131158139031482,0.4622328735560861,0.37954497591401415,0.4228094784903168,0.35413780689355623,0.2403014067863269
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-13-crew_dispatch,U01,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.3786469216204438,0.45870060663566486,0.0,0.0,0.0,0.6421696003115744,0.6421696003115744,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.1791399533509509,0.3786469216204438,0.31200116872607114,0.35634331263292507,0.3190317070805864,0.21002113805372427
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-14-cyber_defense,U06,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.48003972861930366,0.3612250997524473,0.0,0.0,0.0,0.798858400629998,0.798858400629998,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.21361350773056326,0.48003972861930366,0.391730491605221,0.4356693739333503,0.36161668602010755,0.23841112401340506
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-15-communications,U03,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.581050917810668,0.2058290258571956,0.10442822442959038,0.15142092542290606,0.0,0.8187918002938233,0.8187918002938233,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.2842983341571246,0.581050917810668,0.437118317197723,0.4949897994261472,0.4040413854804806,0.28486476803773575
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-16-resource_allocation,U00,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.572983988790852,0.14917350413147457,0.08966221457664796,0.13001021113613953,0.0,0.7915072132476854,0.7915072132476854,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.27641700686156323,0.572983988790852,0.42707039882826214,0.48451178385615823,0.4006532752921579,0.2800367421977753
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-17-critical_load,U05,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.5373324788623519,0.19361474363472714,0.07726119556020018,0.11202873356229026,0.0,0.7765565934623752,0.7765565934623752,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.25997993886814935,0.5373324788623519,0.4090721399105346,0.46338930131866163,0.38567964112218783,0.2678965421089334
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-18-zone_operator,U02,dispatch_repair_crew,no_information_action,no_communication_action,execute_autonomously,True,True,-0.010499999999999999,True,False,True,0.48853488700372405,0.31463590469883174,0.0,0.0,0.0,0.7848628458206524,0.7848628458206524,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,1,5,0.2165018615812662,0.48853488700372405,0.39162966625665274,0.4387201009090821,0.3718513192082308,0.2451231016943761
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-19-crew_dispatch,U03,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.5264111861755028,0.30473336651320704,0.0,0.0,0.0,0.7996780979757836,0.7996780979757836,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.22937980329967095,0.5264111861755028,0.410483998964147,0.46372877541721486,0.38109269819371117,0.2513951321291408
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-20-cyber_defense,U04,restore_communication_relay,no_information_action,no_communication_action,execute_autonomously,True,True,-0.010499999999999999,True,False,True,0.4685896041249049,0.34964474876831275,0.0,0.0,0.0,0.7275161094323082,0.7275161094323082,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.2097204654024677,0.4685896041249049,0.369314869008039,0.4217883626383141,0.35680763373246005,0.2352050891549734
v7-pilots_iteration2-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-774103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,private_fragmented,event_triggered,774103,always_act,0,UTL-21-communications,U01,no_operational_action,no_information_action,no_communication_action,execute_autonomously,False,False,0.0,False,False,False,0.4300083870873994,0.35328905539781796,0.0,0.0,0.0,0.6930323939521363,0.6930323939521363,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1,4,0.1966028516097158,0.4300083870873994,0.34526145332299385,0.39252195795302824,0.3406035225767078,0.22440234838447187
