feature_block,threshold,primary_disrupted_panels,activation_rate,timely_activation_rate_by_step_4,pre_disruption_false_activation_rate,nominal_panels,nominal_episode_false_activation_rate,mean_escalations_per_disrupted_episode
predictive_uncertainty,0.5,30,1.0,0.9666666666666667,0.03333333333333333,20,0.1,3.9
predictive_uncertainty,0.55,30,1.0,0.9666666666666667,0.03333333333333333,20,0.1,3.8666666666666667
predictive_uncertainty,0.6,30,1.0,0.9666666666666667,0.03333333333333333,20,0.1,3.7666666666666666
predictive_uncertainty,0.65,30,1.0,0.9333333333333333,0.03333333333333333,20,0.1,3.6666666666666665
predictive_uncertainty,0.7,30,1.0,0.9,0.03333333333333333,20,0.1,3.5
predictive_uncertainty,0.75,30,1.0,0.9,0.03333333333333333,20,0.05,3.2333333333333334
predictive_uncertainty,0.8,30,0.9333333333333333,0.7666666666666667,0.0,20,0.0,2.6
combined_generalized_entropic,0.5,30,1.0,1.0,0.03333333333333333,20,0.1,3.933333333333333
combined_generalized_entropic,0.55,30,1.0,0.9666666666666667,0.03333333333333333,20,0.1,3.8
combined_generalized_entropic,0.6,30,1.0,0.9666666666666667,0.03333333333333333,20,0.1,3.7666666666666666
combined_generalized_entropic,0.65,30,1.0,0.9666666666666667,0.03333333333333333,20,0.05,3.7333333333333334
combined_generalized_entropic,0.7,30,1.0,0.9333333333333333,0.03333333333333333,20,0.05,3.433333333333333
combined_generalized_entropic,0.75,30,1.0,0.9333333333333333,0.03333333333333333,20,0.05,3.2
combined_generalized_entropic,0.8,30,1.0,0.8333333333333334,0.0,20,0.05,2.7
