application,clusters,low_confidence_panel_fraction,forced_harmful_interventions,safe_harmful_interventions,harmful_relative_reduction,safe_minus_forced_utility,relative_service_loss_degradation
commercial,80,0.2375,23,12,0.4782608695652174,-0.0046541856213045,0.0013697409126184
humanitarian,80,0.2375,35,19,0.4571428571428571,0.0224052448203123,-0.0064705110080352
utility_restoration,80,0.25,29,9,0.6896551724137931,0.0244842653278716,-0.0072084779132334
