application,regime,mean,ci_low,ci_high,n_clusters,bootstrap_replicates,bootstrap_seed,confidence
commercial,compound,0.018255875411215605,-0.015334336091525869,0.06424332612931555,20,10000,55131,0.95
commercial,correlated,-0.052452992011590246,-0.15147081664480755,0.0053089108354705,20,10000,55131,0.95
commercial,isolated_physical,-0.06959460110784749,-0.154959916412083,0.0008500378195502859,20,10000,55131,0.95
commercial,nominal,0.007463288969915551,-0.010805916273703666,0.03319578318345032,20,10000,55131,0.95
commercial,ood,0.04810936577989204,-0.0001961225859648759,0.125884581026711,20,10000,55131,0.95
commercial,partition,-0.02942551844994985,-0.11498158151404347,0.056543795590686466,20,10000,55131,0.95
commercial,telemetry_integrity,-0.005283380333485089,-0.10591438533995595,0.08821958569173088,20,10000,55131,0.95
humanitarian,compound,0.03676651887577972,-0.003060833897025985,0.08781872734580567,20,10000,55131,0.95
humanitarian,correlated,-0.02231286069965428,-0.06093473797109999,0.004070994798227675,20,10000,55131,0.95
humanitarian,isolated_physical,-0.005838392144508873,-0.04362020425817632,0.02986247009316495,20,10000,55131,0.95
humanitarian,nominal,0.00758187942341355,-0.00393999999999999,0.02467955973166724,20,10000,55131,0.95
humanitarian,ood,-0.04582485178466209,-0.09347101109735771,-0.00926366966325938,20,10000,55131,0.95
humanitarian,partition,-0.013886261790928065,-0.041444007342122564,0.01088256583311469,20,10000,55131,0.95
humanitarian,telemetry_integrity,-0.01875016775038886,-0.06135074421148451,0.019188534427925303,20,10000,55131,0.95
utility_restoration,compound,-0.03433402808255218,-0.08746248869378184,0.0035786638984653804,20,10000,55131,0.95
utility_restoration,correlated,-0.028456859657347754,-0.0677024824242703,0.007966197335097165,20,10000,55131,0.95
utility_restoration,isolated_physical,-0.024902526020374544,-0.05873477697659511,0.011137089686064503,20,10000,55131,0.95
utility_restoration,nominal,0.004173449974674349,-0.008205442491016216,0.020725792415039263,20,10000,55131,0.95
utility_restoration,ood,0.022711690526504517,0.0,0.052946578993295204,20,10000,55131,0.95
utility_restoration,partition,0.02245883232993736,-0.010142174061541252,0.06655224360261945,20,10000,55131,0.95
utility_restoration,telemetry_integrity,-0.017295354834254813,-0.0759988696686599,0.02682120084934527,20,10000,55131,0.95
