application,feature_block,mean,ci_low,ci_high,clusters
commercial,complete_thermodynamic,0.033795069640721126,0.00446153904318014,0.06099959323411638,140
commercial,energy_only,0.0,0.0,0.0,140
commercial,entropy_disagreement_only,-0.0043241960755360555,-0.013410122461583525,0.00043753423497535927,140
commercial,exploratory_free_energy,0.04555171666737658,0.02024255858690656,0.06980648546544194,140
commercial,kpi_plus_energy,0.033684028136832384,0.007724261836734641,0.05783188391766456,140
commercial,kpi_plus_entropy_disagreement,0.02183717645942531,-0.007365265714307292,0.04891360056590248,140
commercial,local_kpi_only,0.033684028136832384,0.007724261836734641,0.05783188391766456,140
humanitarian,complete_thermodynamic,-0.01104153107317363,-0.03873286885679154,0.01440966802524867,140
humanitarian,energy_only,0.0,0.0,0.0,140
humanitarian,entropy_disagreement_only,-0.0037791101827350277,-0.009945365169936635,0.0008617596091198479,140
humanitarian,exploratory_free_energy,-0.0037375002334712488,-0.030024982482131125,0.01996594352923186,140
humanitarian,kpi_plus_energy,0.0037361865782820337,-0.021201712933755522,0.025914054693153186,140
humanitarian,kpi_plus_entropy_disagreement,-0.0051586899747106665,-0.03217544601893278,0.019273568740304697,140
humanitarian,local_kpi_only,0.0037361865782820337,-0.021201712933755522,0.025914054693153186,140
utility_restoration,complete_thermodynamic,0.0033291963766726423,-0.018650433170834868,0.022669182209473445,140
utility_restoration,energy_only,0.0,0.0,0.0,140
utility_restoration,entropy_disagreement_only,-0.0010416208120159955,-0.006532209756163666,0.003446147637045584,140
utility_restoration,exploratory_free_energy,0.017879728700403528,-0.005210244046530115,0.038637491836143026,140
utility_restoration,kpi_plus_energy,0.0210467064498494,0.005199044491700124,0.036493455509768846,140
utility_restoration,kpi_plus_entropy_disagreement,0.013097449912218962,-0.003836190711077333,0.028879221454998348,140
utility_restoration,local_kpi_only,0.0210467064498494,0.005199044491700124,0.036493455509768846,140
