method,rl_seed,status,training_steps,training_decision_epochs,evaluation_decision_epochs,evaluation_mean_reward,evaluation_reward_std,evaluation_beneficial_fraction,evaluation_harmful_fraction,evaluation_action_diversity,evaluation_policy_entropy,wall_seconds,device,checkpoint,checkpoint_sha256,curve_path,evaluation_path
ippo_kpi_only,52001,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0120766069740057,89.66568582301261,cpu,training/checkpoints/ippo_kpi_only-seed-52001.pt,5392e829842d3c151fd724cf04b0611622bc7cb12a6c909f3684a2bea35bc129,training/curves/ippo_kpi_only-seed-52001.csv,training/evaluation/ippo_kpi_only-seed-52001.csv
ippo_kpi_only,52002,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0077462778426706,96.65834967500996,cpu,training/checkpoints/ippo_kpi_only-seed-52002.pt,fbecba919fe033ad284a02ba22b4bbbeee57d34633087d8333c66a28378d9d2f,training/curves/ippo_kpi_only-seed-52002.csv,training/evaluation/ippo_kpi_only-seed-52002.csv
ippo_kpi_only,52003,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0121912499889731,90.80911353998818,cpu,training/checkpoints/ippo_kpi_only-seed-52003.pt,62f464a77f55468edd6594217603db2ffaea70c2c3b6a6e89b2e5518c086e15c,training/curves/ippo_kpi_only-seed-52003.csv,training/evaluation/ippo_kpi_only-seed-52003.csv
ippo_kpi_only,52004,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0140848420560359,82.4878094480373,cpu,training/checkpoints/ippo_kpi_only-seed-52004.pt,673d5d2220df8ed838178f8af20140ec8286665634ba17fd2ad1100b5bb5a6eb,training/curves/ippo_kpi_only-seed-52004.csv,training/evaluation/ippo_kpi_only-seed-52004.csv
ippo_kpi_only,52005,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0104371001943945,93.82118184602588,cpu,training/checkpoints/ippo_kpi_only-seed-52005.pt,d0eb93d85d67d93230e9130646a5f1494f30ab1d2e337a580984c4a85d1fd93c,training/curves/ippo_kpi_only-seed-52005.csv,training/evaluation/ippo_kpi_only-seed-52005.csv
ippo_entropy_disagreement,52001,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0110500995069742,94.67575932200998,cpu,training/checkpoints/ippo_entropy_disagreement-seed-52001.pt,5871910dfc37d08d469152e675277138ff6abb6cd918fc0984708c8019e9f2ad,training/curves/ippo_entropy_disagreement-seed-52001.csv,training/evaluation/ippo_entropy_disagreement-seed-52001.csv
ippo_entropy_disagreement,52002,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0080113802105188,81.12537013698602,cpu,training/checkpoints/ippo_entropy_disagreement-seed-52002.pt,8fcfe01174e56eab9ac120a123669006521ab1aa884dbbeb60986cfb0f68decf,training/curves/ippo_entropy_disagreement-seed-52002.csv,training/evaluation/ippo_entropy_disagreement-seed-52002.csv
ippo_entropy_disagreement,52003,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0093373954296112,86.10852532199351,cpu,training/checkpoints/ippo_entropy_disagreement-seed-52003.pt,fdcbda6e85d2bf606d1e02ad2d6161fb2733ef729a2b3be8583f9e6b642a9d46,training/curves/ippo_entropy_disagreement-seed-52003.csv,training/evaluation/ippo_entropy_disagreement-seed-52003.csv
ippo_entropy_disagreement,52004,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0143916774541139,86.38548261398682,cpu,training/checkpoints/ippo_entropy_disagreement-seed-52004.pt,ee1ca9f1b5efa205ac6e940cb01c13534883cbfec8519619520e10f6c9acb381,training/curves/ippo_entropy_disagreement-seed-52004.csv,training/evaluation/ippo_entropy_disagreement-seed-52004.csv
ippo_entropy_disagreement,52005,complete,30000,30208,2160,0.0,0.0,0.0,0.0,1,0.0106469178572297,96.9555000840337,cpu,training/checkpoints/ippo_entropy_disagreement-seed-52005.pt,e74e611116644ca214a5eea95b0f2a30cc975eb8eeb6b4f1597bdef1e37c510e,training/curves/ippo_entropy_disagreement-seed-52005.csv,training/evaluation/ippo_entropy_disagreement-seed-52005.csv
