application,paired_win_fraction,paired_tie_fraction,paired_loss_fraction,clusters
commercial,0.1833333333333333,0.6166666666666667,0.2,120
humanitarian,0.1,0.6916666666666667,0.2083333333333333,120
utility_restoration,0.125,0.7083333333333334,0.1666666666666666,120
