application,information_condition,clusters,kpi_mean_utility,thermo_mean_utility,absolute_gain,relative_gain,gain_ci95_low,gain_ci95_high,paired_win_fraction,paired_tie_fraction,paired_loss_fraction,improved_regimes,harmful_rate_kpi,harmful_rate_thermo,maximum_positive_gain_regime_fraction
commercial,private_fragmented,120,0.042560697485083,0.0274954890331221,-0.0150652084519608,-0.3013041690392169,-0.0489130619300024,0.0174220410837534,0.1833333333333333,0.6166666666666667,0.2,2,0.128,0.1386861313868613,0.724918118527659
humanitarian,private_fragmented,120,0.0074481535996554,-0.0041928489494049,-0.0116410025490604,-0.2328200509812081,-0.0278610035471237,0.0042620690607127,0.1,0.6916666666666667,0.2083333333333333,1,0.1338582677165354,0.1769230769230769,1.0
utility_restoration,private_fragmented,120,0.0260466989416386,0.016076991318624,-0.0099697076230145,-0.1993941524602914,-0.027684157779327,0.0067833655567299,0.125,0.7083333333333334,0.1666666666666666,2,0.1142857142857142,0.1477272727272727,0.5027989292637897
