application,method,loss,operator_minutes,communication_bytes
commercial,No human,3.262296625132301,0.0,0.0
commercial,KPI-only triage,2.974808761196399,5.457142857142857,1450.1571428571428
commercial,Entropy-assisted triage,2.986655612873806,5.7785714285714285,5418.357142857143
commercial,Bounded oracle,2.6190080917435092,13.95,5418.357142857143
humanitarian,No human,3.2410275555765096,0.0,0.0
humanitarian,KPI-only triage,3.0259285407236933,5.7214285714285715,1448.442857142857
humanitarian,Entropy-assisted triage,3.034823417276686,5.621428571428571,5416.414285714285
humanitarian,Bounded oracle,2.645669180167186,13.928571428571429,5416.414285714285
utility_restoration,No human,3.4320308518790696,0.0,0.0
utility_restoration,KPI-only triage,2.972686441885508,4.585714285714285,1465.5
utility_restoration,Entropy-assisted triage,2.9806356984231384,3.835714285714286,5888.557142857143
utility_restoration,Bounded oracle,2.6221356025427394,14.1,5888.557142857143
