evidence_stage,application,information_condition,feature_block,candidate_rows,independent_clusters,positive_prevalence,average_precision,roc_auc,brier_score,condition_number,mean_budgeted_causal_utility,mean_operator_minutes,harmful_intervention_rate,selected_c_values,confirmatory
development,commercial,globally_public,local_kpi_only,96,60,0.0,,,0.0,1.1898369276659742,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,globally_public,energy_only,96,60,0.0,,,0.0,35354401874919.96,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,globally_public,entropy_disagreement_only,96,60,0.0,,,0.0,1.0,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,globally_public,kpi_plus_energy,96,60,0.0,,,0.0,164534120279723.3,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,globally_public,kpi_plus_entropy_disagreement,96,60,0.0,,,0.0,2.7269988004824484,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,globally_public,complete_thermodynamic,96,60,0.0,,,0.0,211291019391032.8,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,globally_public,exploratory_free_energy,96,60,0.0,,,0.0,2.8418453651211912e+29,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,private_fragmented,local_kpi_only,96,60,0.020833333333333332,0.08333333333333333,0.8351063829787234,0.16223265586926391,1.1898369276659742,0.007686399999999986,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,private_fragmented,energy_only,96,60,0.020833333333333332,0.08333333333333333,0.7952127659574468,0.16596185120703788,35354401874919.96,0.007686399999999986,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,private_fragmented,entropy_disagreement_only,96,60,0.020833333333333332,0.07037037037037036,0.8031914893617021,0.19527549102851657,7819002839642479.0,0.007686399999999986,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,private_fragmented,kpi_plus_energy,96,60,0.020833333333333332,0.09259259259259259,0.8351063829787234,0.15291370440736918,164534120279723.3,0.007686399999999986,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,private_fragmented,kpi_plus_entropy_disagreement,96,60,0.020833333333333332,0.1388888888888889,0.898936170212766,0.14368393019285122,7451058515297631.0,0.007686399999999986,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,private_fragmented,complete_thermodynamic,96,60,0.020833333333333332,0.13095238095238093,0.8829787234042553,0.13133711631515518,1.2836265831165054e+16,0.007686399999999986,8.0,0.0,0.05;0.05;0.05;0.05,False
development,commercial,private_fragmented,exploratory_free_energy,96,60,0.020833333333333332,0.13095238095238093,0.8829787234042553,0.12947429248547593,2.8299415283963656e+16,0.007686399999999986,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,globally_public,local_kpi_only,96,60,0.0,,,0.0,1.0,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,globally_public,energy_only,96,60,0.0,,,0.0,35354401874919.96,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,globally_public,entropy_disagreement_only,96,60,0.0,,,0.0,1.0,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,globally_public,kpi_plus_energy,96,60,0.0,,,0.0,158945495280996.66,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,globally_public,kpi_plus_entropy_disagreement,96,60,0.0,,,0.0,3.633770358782485,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,globally_public,complete_thermodynamic,96,60,0.0,,,0.0,2.2784268776517596e+16,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,globally_public,exploratory_free_energy,96,60,0.0,,,0.0,1.4600337510594693e+30,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,private_fragmented,local_kpi_only,96,60,0.4375,0.37477698886208344,0.2757936507936508,0.2582867023681385,1.0,0.3952959999999998,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,private_fragmented,energy_only,96,60,0.4375,0.3527989668840614,0.2757936507936508,0.2615272209781079,35354401874919.96,0.3952959999999998,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,private_fragmented,entropy_disagreement_only,96,60,0.4375,1.0,1.0,0.047824985327475165,9537480305833104.0,0.5676438399999998,8.0,0.0,0.2;0.2;1.0;0.2,False
development,humanitarian,private_fragmented,kpi_plus_energy,96,60,0.4375,0.37249727932430937,0.2757936507936508,0.26325437035326155,158945495280996.66,0.3952959999999998,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,private_fragmented,kpi_plus_entropy_disagreement,96,60,0.4375,1.0,1.0,0.07235837244441028,1.0309723672145576e+16,0.5541467199999999,8.0,0.0,0.05;0.2;0.05;0.05,False
development,humanitarian,private_fragmented,complete_thermodynamic,96,60,0.4375,1.0,1.0,0.07403685912281908,2.300633359220812e+16,0.5811409599999997,8.0,0.0,0.05;0.05;0.05;0.05,False
development,humanitarian,private_fragmented,exploratory_free_energy,96,60,0.4375,1.0,1.0,0.05749001724785855,2.0405993807507492e+16,0.5676438399999998,8.0,0.0,0.05;0.05;5.0;0.05,False
development,utility_restoration,globally_public,local_kpi_only,96,60,0.0,,,0.0,1.0,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,globally_public,energy_only,96,60,0.0,,,0.0,35354401874919.96,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,globally_public,entropy_disagreement_only,96,60,0.0,,,0.0,1.0,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,globally_public,kpi_plus_energy,96,60,0.0,,,0.0,158945495280996.66,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,globally_public,kpi_plus_entropy_disagreement,96,60,0.0,,,0.0,1.0803934418913008,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,globally_public,complete_thermodynamic,96,60,0.0,,,0.0,159146163078446.2,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,globally_public,exploratory_free_energy,96,60,0.0,,,0.0,4.2193689562440124e+29,-0.020000000000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,private_fragmented,local_kpi_only,96,60,0.4375,0.32938460716327256,0.21626984126984125,0.2699465612050809,1.0,0.21498831999999996,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,private_fragmented,energy_only,96,60,0.4375,0.32938460716327256,0.21626984126984125,0.2777039076577917,35354401874919.96,0.21498831999999996,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,private_fragmented,entropy_disagreement_only,96,60,0.4375,0.9901360544217686,0.9920634920634921,0.0756192785013143,5390962638704344.0,0.39366448000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,private_fragmented,kpi_plus_energy,96,60,0.4375,0.32938460716327256,0.21626984126984125,0.2818373277990561,158945495280996.66,0.21498831999999996,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,private_fragmented,kpi_plus_entropy_disagreement,96,60,0.4375,0.9740021008403359,0.9761904761904763,0.08450926749192496,4690840691604924.0,0.39366448000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
development,utility_restoration,private_fragmented,complete_thermodynamic,96,60,0.4375,0.9566028334410686,0.9642857142857142,0.08120253315865156,2.250589447447108e+17,0.36256672000000006,8.0,0.0,0.05;1.0;0.05;0.05,False
development,utility_restoration,private_fragmented,exploratory_free_energy,96,60,0.4375,0.9648936497675993,0.9722222222222222,0.07983104003808537,3.759016310519945e+16,0.39366448000000004,8.0,0.0,0.05;0.05;0.05;0.05,False
