application,regime,reference,treatment,independent_panels,reference_mean_loss,treatment_mean_loss,mean_treatment_minus_reference,difference_ci95_low,difference_ci95_high,mean_relative_loss_reduction,paired_win_rate,evidence_stage
commercial,aggregate,no_communication,fixed_communication,60,8.130872960000001,5.699545599999999,-2.4313273600000005,-2.952869920000001,-1.8945572800000003,0.2492412672053144,0.6,development
commercial,compound,no_communication,fixed_communication,12,14.063442399999998,9.799736799999998,-4.263705600000001,-5.519976000000001,-2.842470400000001,0.28434319085554943,0.8333333333333334,development
commercial,correlated,no_communication,fixed_communication,12,9.4196424,7.2370312000000006,-2.1826111999999998,-3.0010903999999994,-1.3641319999999997,0.2131847310741064,0.6666666666666666,development
commercial,isolated_physical,no_communication,fixed_communication,12,3.820320000000001,3.820320000000001,0.0,0.0,0.0,0.0,0.0,development
commercial,partition,no_communication,fixed_communication,12,6.675480000000001,3.820320000000001,-2.85516,-3.806880000000001,-1.9034400000000005,0.3743392070484582,0.75,development
commercial,telemetry_integrity,no_communication,fixed_communication,12,6.675480000000001,3.820320000000001,-2.85516,-3.806880000000001,-1.9034400000000005,0.3743392070484582,0.75,development
humanitarian,aggregate,no_communication,fixed_communication,60,8.912552320000001,8.083921440000001,-0.8286308800000001,-1.2220084800000002,-0.4657083200000001,0.08593585915999971,0.23333333333333334,development
humanitarian,compound,no_communication,fixed_communication,12,15.249920000000001,13.8286848,-1.4212352000000006,-2.3729552000000003,-0.5519976000000001,0.10017555028156995,0.4166666666666667,development
humanitarian,correlated,no_communication,fixed_communication,12,10.2381216,9.4196424,-0.8184792,-1.6369583999999995,0.0,0.07994427415278989,0.25,development
humanitarian,isolated_physical,no_communication,fixed_communication,12,3.820320000000001,3.820320000000001,0.0,0.0,0.0,0.0,0.0,development
humanitarian,partition,no_communication,fixed_communication,12,7.627200000000002,6.675480000000001,-0.9517200000000002,-1.9034400000000005,0.0,0.12477973568281937,0.25,development
humanitarian,telemetry_integrity,no_communication,fixed_communication,12,7.627200000000002,6.675480000000001,-0.9517200000000002,-1.9034400000000005,0.0,0.12477973568281937,0.25,development
utility_restoration,aggregate,no_communication,fixed_communication,60,9.618879626666667,9.134620320000002,-0.48425930666666667,-0.7714672533333332,-0.20653834666666673,0.04431717249899478,0.23333333333333334,development
utility_restoration,compound,no_communication,fixed_communication,12,15.428782933333336,14.550179199999997,-0.8786037333333333,-1.4725978666666666,-0.30847813333333346,0.05403006997137136,0.4166666666666667,development
utility_restoration,correlated,no_communication,fixed_communication,12,11.778095200000001,11.232442399999998,-0.5456527999999997,-1.6369583999999993,0.5456527999999997,0.036834164665410805,0.25,development
utility_restoration,isolated_physical,no_communication,fixed_communication,12,5.633120000000003,5.633120000000003,0.0,0.0,0.0,0.0,0.0,development
utility_restoration,partition,no_communication,fixed_communication,12,7.627200000000002,7.128680000000002,-0.4985200000000001,-0.9970400000000001,0.0,0.06536081392909586,0.25,development
utility_restoration,telemetry_integrity,no_communication,fixed_communication,12,7.627200000000002,7.128680000000002,-0.4985200000000001,-0.9970400000000001,0.0,0.06536081392909586,0.25,development
