stage,application,candidate,independent_panels,mean_wire_bytes,wire_bytes_se,mean_primary_error,primary_error_se,nondominated
hysteresis_repair_pilot_v3,humanitarian,always_on_u8,6,2485751.3333333335,1332236.039476055,0.06160724111389992,0.002529997092956105,False
hysteresis_repair_pilot_v3,humanitarian,generalized_0115_u8,6,2121826.6666666665,1168969.6526808178,0.0612691568068339,0.002628269539981517,True
hysteresis_repair_pilot_v3,humanitarian,generalized_011_u8,6,2193391.0,1207808.382030831,0.06129359220514045,0.0026565502578422846,False
hysteresis_repair_pilot_v3,humanitarian,kpi_012_u8,6,1839558.6666666667,985361.8744732878,0.06446282642238058,0.0033794730503105717,True
hysteresis_repair_pilot_v3,humanitarian,none_u8,6,0.0,0.0,0.0803078564932461,0.006974285204807382,True
hysteresis_repair_pilot_v3,utility_restoration,always_on_u8,6,1309357.0,774579.7338532684,0.06341050223618655,0.002624288453916092,True
hysteresis_repair_pilot_v3,utility_restoration,generalized_0115_u8,6,1065044.3333333333,651503.8248590548,0.06374403939034508,0.0026015688547692227,False
hysteresis_repair_pilot_v3,utility_restoration,generalized_011_u8,6,1109748.6666666667,677616.1914471774,0.06354029794355245,0.0025781554014980904,True
hysteresis_repair_pilot_v3,utility_restoration,kpi_012_u8,6,969946.3333333334,585922.8084796191,0.06367145645765816,0.002776445840295894,True
hysteresis_repair_pilot_v3,utility_restoration,none_u8,6,0.0,0.0,0.09355903585568215,0.005321289353429417,True
