record_type,id,x,y,label,boundary,source,target
node,0,0.11,0.76,Private observation and belief,agent_private,,
node,1,0.37,0.76,Local generalized- information trigger,agent_private,,
node,2,0.63,0.76,Deterministic binary belief sketch,wire,,
node,3,0.89,0.76,Lossy ad-hoc network,wire,,
node,4,0.78,0.36,Recipient-local distributed estimate,agent_private,,
node,5,0.48,0.36,Independent decentralized action policy,agent_private,,
node,6,0.18,0.36,Dynamic service and safety outcome,environment,,
node,7,0.48,0.07,Evaluator-only global truth (scoring; never deployed),evaluator,,
edge,0-1,,,,,0,1
edge,1-2,,,,,1,2
edge,2-3,,,,,2,3
edge,3-4,,,,,3,4
edge,4-5,,,,,4,5
edge,5-6,,,,,5,6
edge,6-0,,,,,6,0
edge,4-7,,,,,4,7
edge,6-7,,,,,6,7
