application,stage,run_id,step,distributed_disagreement,evaluator_global_disagreement,belief_mae,disagreement_absolute_error,evaluator_disrupted,transmissions,disruption_step,recovery_step
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,0,7.93016446160826e-18,0.12602781963493415,0.08606986424476183,0.12602781963493412,False,28,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,4,0.0019254444050155071,0.09562670393695569,0.07084059378711864,0.09370125953194017,False,28,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,8,0.004159683686229846,0.12194661508338685,0.08195724674863421,0.117786931397157,False,28,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,12,0.11355460724141994,0.12931126683696786,0.09197582571837556,0.05605352691526252,True,24,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,16,0.09714203634935965,0.1309782374189036,0.08079322933745847,0.046863656503637004,True,27,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,20,0.09340756891004254,0.12720848075399294,0.09451034392432947,0.05719811398478192,True,21,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,24,0.12014087072766479,0.12439874479419122,0.08283538963394528,0.05247433550621788,True,21,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,28,0.09510225065438514,0.10754618800921359,0.060606100562127334,0.040342221098341895,True,19,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,32,0.08604033954987471,0.09402561341153096,0.06469035598208639,0.035133632282121005,True,25,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,36,0.09360630174090054,0.10357178747210684,0.06305028428442379,0.047814208739350446,True,21,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,40,0.08844981475829043,0.08321371566673734,0.06427033057618271,0.04690999111226686,True,22,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,44,0.07049850392357028,0.10775682099560897,0.061325566336517694,0.055489567556256135,True,19,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,48,0.07993761367372888,0.11464248309531935,0.06654050923555822,0.04569142934603138,False,22,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,52,0.07935294626327517,0.12424700341713747,0.05554798201225599,0.04839231148597093,True,15,11,29
humanitarian,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-humanitarian-medium-medium-high-medium-random_geometric-private_fragmented-8812403-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,56,0.06039031719659049,0.09526850717980692,0.057929605589981205,0.053259810510523205,True,22,11,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,0,0.0,0.14532282775222247,0.0923511444569208,0.14532282775222247,False,28,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,4,0.012196345153485994,0.12877060125353484,0.08142043729388529,0.11657425610004886,False,28,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,8,0.014039567078064653,0.10337067591233653,0.07713928781958275,0.08990176095272451,False,28,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,12,0.11835901986144547,0.12426062444058363,0.07389750160381793,0.042992917858530745,True,19,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,16,0.09878372150624025,0.10309280522638298,0.07087644319942873,0.03481047685773054,True,17,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,20,0.09556639357112,0.11437185652170255,0.07649600892111207,0.03338183035429831,True,16,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,24,0.11043877247294505,0.13051276986153876,0.06712078877537621,0.04722196603522493,True,22,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,28,0.08782573829771871,0.09668437946537704,0.06178990239644812,0.040143639790627926,True,19,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,32,0.10869479529427095,0.13345756153272723,0.07231828026643132,0.04137020504871486,True,22,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,36,0.10657241441766854,0.11190724420856515,0.060791236024575986,0.03829597314068996,True,16,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,40,0.10677179167254255,0.12768560421250258,0.06416268505007781,0.04157091165927011,True,18,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,44,0.10870684232970948,0.10741731925450489,0.06666470133036052,0.040996828321030986,True,20,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,48,0.09967404533617459,0.12448195477586822,0.06171470174970069,0.05359480864140896,True,17,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,52,0.10486410146652622,0.12233315524728672,0.05342050642524492,0.03339446034418408,True,16,10,29
utility_restoration,hysteresis_repair_pilot_v3,v8-hysteresis_repair_pilot_v3-utility_restoration-medium-medium-high-medium-grid-private_fragmented-8812503-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,56,0.09994843812078288,0.13453941720797707,0.06336268776211375,0.04725608100932047,True,18,10,29
