evidence_type,application,episodes,decision_epochs,first_pass_validity,validity_after_one_repair,material_acceptance,accepted_to_next_stage,service_reaching,action_diversity,private_evidence_action_divergence
deterministic_independent_agent,commercial,280,1120,1.0,1.0,0.9294642857142857,0.8242074927953891,0.7660714285714286,6,
deterministic_independent_agent,humanitarian,280,1120,1.0,1.0,0.9455357142857143,0.8111425873465533,0.7669642857142858,6,
deterministic_independent_agent,utility_restoration,280,1120,1.0,1.0,0.9553571428571429,0.8345794392523365,0.7973214285714286,6,
real_qwen_agent,commercial,12,36,1.0,1.0,0.8333333333333334,,0.2222222222222222,3,0.5
real_qwen_agent,humanitarian,12,36,1.0,1.0,0.8333333333333334,,0.3888888888888889,4,0.9
real_qwen_agent,utility_restoration,12,36,1.0,1.0,0.8611111111111112,,0.6388888888888888,3,0.0
