application,information_condition,counterfactual_candidates,beneficial,neutral,harmful,accepted_actions,next_stage,reached_service,changed_commitment,mean_effect,minimum_effect,maximum_effect
commercial,private_fragmented,5040,837,560,3643,3222,3069,1187,482,-0.22614602427546812,-0.8397375536600784,0.655882162397461
commercial,public_shared,5040,641,560,3839,3228,3085,1231,474,-0.28994107160170474,-0.8681982664145527,0.5060015095174427
humanitarian,private_fragmented,5040,806,560,3674,3246,3077,1188,478,-0.23125063870178578,-0.8810259314319138,0.6779244413998572
humanitarian,public_shared,5040,581,560,3899,3249,3085,1205,480,-0.3024924116274349,-0.8400580300987938,0.4483959167508942
utility_restoration,private_fragmented,5040,750,560,3730,3249,3105,1230,470,-0.23900521716820516,-0.8508712093566604,0.6110828414090002
utility_restoration,public_shared,5040,622,560,3858,3268,3135,1235,481,-0.2975364143955162,-0.8586082404184935,0.6062197976075803
