application,information_condition,sketch_policy,panels,incidents,mean_sketch_messages,mean_sketch_bytes,mean_sketch_latency,mean_entropy_estimation_error,p95_entropy_estimation_error
commercial,private_fragmented,always_on,32,128,60.0,10573.15625,0.22,0.0185965984016998,0.1193799550106564
commercial,private_fragmented,event_triggered,32,128,22.53125,3971.78125,0.1231874999999999,0.0215690768373617,0.0593954753946557
commercial,private_fragmented,none,32,128,0.0,0.0,0.4,0.0634282156991899,0.1847726117173785
commercial,private_fragmented,periodic,32,128,24.0,4229.4375,0.148,0.0185965984016998,0.1193799550106564
commercial,public_shared,always_on,32,128,60.0,10746.59375,0.22,0.002552062767486,0.0142765271745174
commercial,public_shared,event_triggered,32,128,23.78125,4261.625,0.136625,0.0293517030146578,0.0576947903452482
commercial,public_shared,none,32,128,0.0,0.0,0.4,0.0098354633889811,0.025370608434915
commercial,public_shared,periodic,32,128,24.0,4298.90625,0.148,0.002552062767486,0.0142765271745174
humanitarian,private_fragmented,always_on,32,128,60.0,10533.25,0.22,0.0161537417362219,0.1048888191832371
humanitarian,private_fragmented,event_triggered,32,128,21.90625,3845.9375,0.1141249999999999,0.0189061398574092,0.0466387775903426
humanitarian,private_fragmented,none,32,128,0.0,0.0,0.4,0.0616748133579028,0.1468501932025092
humanitarian,private_fragmented,periodic,32,128,24.0,4212.625,0.148,0.0161537417362219,0.1048888191832371
humanitarian,public_shared,always_on,32,128,60.0,10717.28125,0.22,0.0022146942744429,0.0133984868090484
humanitarian,public_shared,event_triggered,32,128,23.65625,4224.71875,0.136375,0.0286616767868414,0.0547644609910617
humanitarian,public_shared,none,32,128,0.0,0.0,0.4,0.0103641015178412,0.023312973232684
humanitarian,public_shared,periodic,32,128,24.0,4286.0625,0.148,0.0022146942744429,0.0133984868090484
utility_restoration,private_fragmented,always_on,32,128,60.0,10951.125,0.22,0.0124382933918171,0.0821273626532356
utility_restoration,private_fragmented,event_triggered,32,128,23.03125,4206.65625,0.12575,0.0209242436518318,0.0557372189881914
utility_restoration,private_fragmented,none,32,128,0.0,0.0,0.4,0.0493807219964521,0.1411271232787917
utility_restoration,private_fragmented,periodic,32,128,24.0,4379.8125,0.148,0.0124382933918171,0.0821273626532356
utility_restoration,public_shared,always_on,32,128,60.0,11134.84375,0.22,0.0021716874025955,0.0140574598649812
utility_restoration,public_shared,event_triggered,32,128,24.1875,4489.4375,0.1374375,0.0301316605139446,0.0595033425774063
utility_restoration,public_shared,none,32,128,0.0,0.0,0.4,0.0099553091813355,0.0238389838608227
utility_restoration,public_shared,periodic,32,128,24.0,4453.5625,0.148,0.0021716874025955,0.0140574598649812
