application,clusters,absolute_loss_reduction,relative_loss_reduction,ci90_low,ci90_high,changed_panel_fraction,improved_regimes,mean_operational_messages,mean_operational_bytes,communication_adjusted_utility
commercial,120,0.273247547317989,0.0772422909696558,0.2141411723061601,0.3330638364339967,0.6333333333333333,6,12.0,1451.975,0.270343597317989
humanitarian,120,0.2261394527428123,0.0648483420315372,0.1705566316906037,0.2848057392281327,0.5416666666666666,6,12.0,1451.25,0.2232369527428123
utility_restoration,120,0.4502735723557433,0.1217477955601203,0.3895949006446812,0.5117013969559089,0.6916666666666667,6,12.0,1466.275,0.4473410223557433
