printed_figure,local_filename,semantic_label,canonical_source,local_sha256,canonical_sha256,status
1,figure01_architecture.pdf,fig:architecture,results/collective_agent_statmech_v15/figures/pdf/figure01_augmented_state_architecture.pdf,21cc957a2c27712b16eee58a35ee6c833109f9005241eadab1c88100521e460b,21cc957a2c27712b16eee58a35ee6c833109f9005241eadab1c88100521e460b,match
2,figure02_memory_evidence_stages.pdf,fig:memory,results/collective_agent_statmech_v15/figures/pdf/figure02_memory_discovery_replication.pdf,bd04b93cd999886389e524870d1b577da57b5a7afc4bd1959312b036f411b140,bd04b93cd999886389e524870d1b577da57b5a7afc4bd1959312b036f411b140,match
3,figure03_corrected_quench_time_series.pdf,fig:v14series,results/collective_agent_statmech_v15/figures/pdf/figure03_v14_quench_time_series.pdf,307cdf8aa2cbd9e87f80494e224a30faad86ca97a188bc70905c5e7fb0fb25c7,307cdf8aa2cbd9e87f80494e224a30faad86ca97a188bc70905c5e7fb0fb25c7,match
4,figure04_cross_model_quench.pdf,fig:crossquench,results/collective_agent_statmech_v15/figures/pdf/figure06_cross_model_quench.pdf,b7bd3b5367ebc9ce22271c262f40b86ad255921dd83401c1a9198b68cd1b662b,b7bd3b5367ebc9ce22271c262f40b86ad255921dd83401c1a9198b68cd1b662b,match
5,figure05_graph_distance_correlations.pdf,fig:correlations,results/collective_agent_statmech_v15/figures/pdf/figure13_graph_distance_correlations.pdf,6271b8b469a52caa8d263bc23995dccde5249b51bd0ac864395c9393c3df3f13,6271b8b469a52caa8d263bc23995dccde5249b51bd0ac864395c9393c3df3f13,match
6,figure06_memory_controls.pdf,fig:v15memory,results/collective_agent_statmech_v15/figures/pdf/figure07_v15_memory_controls.pdf,9e09c0218736c903c8b6afb860db31ef81347590bcc94f72c6b6189bbefb47ed,9e09c0218736c903c8b6afb860db31ef81347590bcc94f72c6b6189bbefb47ed,match
7,figure07_confirmatory_effects.pdf,fig:effects,results/collective_agent_statmech_v15/figures/pdf/figure09_confirmatory_effects.pdf,8975f000f27d181ba9c99141657f6abf16fae862dba9506e059b9abde4b7714d,8975f000f27d181ba9c99141657f6abf16fae862dba9506e059b9abde4b7714d,match
8,figure08_direct_surrogate_quench.pdf,fig:surrogate,results/collective_agent_statmech_v15/figures/pdf/figure10_direct_surrogate_quench.pdf,22b9ac164083292048c9ccf2aed5e94fb3864583aab5103de61974b244f0cde8,22b9ac164083292048c9ccf2aed5e94fb3864583aab5103de61974b244f0cde8,match
9,figure09_cluster_recovery.pdf,fig:v14recovery,results/collective_agent_statmech_v15/figures/pdf/figure04_v14_cluster_recovery.pdf,1cf7771a3a539c9aef45e4f464b4e63e85d1ebbdfbf7eab7e58a7108e2cfbe4e,1cf7771a3a539c9aef45e4f464b4e63e85d1ebbdfbf7eab7e58a7108e2cfbe4e,match
10,figure10_delayed_audit.pdf,fig:v14audit,results/collective_agent_statmech_v15/figures/pdf/figure05_v14_delayed_audit.pdf,ab806f1aafa705e856af81417fbf4db925668218084ef81a9f877d00b56f7895,ab806f1aafa705e856af81417fbf4db925668218084ef81a9f877d00b56f7895,match
11,figure11_path_reversal_sensitivity.pdf,fig:path-sensitivity,results/collective_agent_statmech_v15/figures/pdf/figure08_path_reversal_sensitivity.pdf,eeefbf62ff5e51b93d757e0112042246e5e834b8a9121184876d1d07920f2dd5,eeefbf62ff5e51b93d757e0112042246e5e834b8a9121184876d1d07920f2dd5,match
12,figure12_prompt_balance.pdf,fig:prompt-balance,results/collective_agent_statmech_v15/figures/pdf/figure12_memory_prompt_balance.pdf,d34c5017af7eff7ea065f3cfe1730db9ffd6224c5c9b56694b8de5648c665285,d34c5017af7eff7ea065f3cfe1730db9ffd6224c5c9b56694b8de5648c665285,match
13,figure13_surrogate_size_context.pdf,fig:surrogate-size,results/collective_agent_statmech_v15/figures/pdf/figure11_surrogate_size_sensitivity.pdf,2df1742bab61f4076300d1433c3bb5a05a7c8540f099b8b211417632f509d7d4,2df1742bab61f4076300d1433c3bb5a05a7c8540f099b8b211417632f509d7d4,match
14,figure14_persistence_binder.pdf,fig:persistence-binder,results/collective_agent_statmech_v15/figures/pdf/figure14_persistence_and_binder.pdf,3e8f383bacc00c77221bf34ae90bd4ee5741cd60c3c1bef89cd5ad7c6bebcc01,3e8f383bacc00c77221bf34ae90bd4ee5741cd60c3c1bef89cd5ad7c6bebcc01,match
