application,information_condition,coverage,baseline,independent_panels,harm_rate_reduction,harm_reduction_ci95_low,harm_reduction_ci95_high,mean_causal_utility_gain,utility_gain_ci95_low,utility_gain_ci95_high
commercial,private_fragmented,0.5,predictive_uncertainty,15,0.02666666666666666,0.006666666666666665,0.04666666666666666,0.013345035054307541,0.0023366566713711643,0.025543421201470348
commercial,public_shared,0.5,predictive_uncertainty,15,0.0,-0.020000000000000004,0.020000000000000004,0.0013958778528624187,-0.004469919908511675,0.00870381394605561
humanitarian,private_fragmented,0.5,predictive_uncertainty,15,0.0,0.0,0.0,0.0006163437152531014,-0.0005107523927577684,0.002331738137030637
humanitarian,public_shared,0.5,predictive_uncertainty,15,0.006666666666666667,0.0,0.020000000000000004,0.000664406793581715,-0.00585698940872881,0.00753132336633991
utility_restoration,private_fragmented,0.5,predictive_uncertainty,15,0.006666666666666665,0.0,0.019999999999999997,0.0040095784824326535,-0.00021285183964346566,0.010938717639191228
utility_restoration,public_shared,0.5,predictive_uncertainty,15,0.006666666666666667,0.0,0.020000000000000004,0.003626061212004676,-0.0019681444463659956,0.01069398289352444
