application,decisions,physical_actions,first_pass,harm_rate,mean_effect,abstention,escalation
commercial,540,1,0.9833333333333333,1.0,-0.3019989259773541,0.016666666666666666,0.0
humanitarian,1080,0,0.9907407407407407,0.0,0.0,0.009259259259259259,0.0
utility_restoration,1080,91,0.9666666666666667,0.5714285714285714,-0.06586090744789969,0.03333333333333333,0.0
