application,operational_energy,shannon_local,js_disagreement,consensus_residual,harmful
utility_restoration,0.3559766870710342,0.5871567411437745,0.1624366532486015,0.0555555555555555,False
utility_restoration,0.2587459290677983,0.753612137278238,0.024848400670933,0.0,True
humanitarian,0.3982874796771373,0.7033276494786299,0.0340904383240415,0.0,True
utility_restoration,0.4964831348696722,0.5660648657672129,0.1171852487456064,0.2222222222222222,True
utility_restoration,0.199577058889701,0.8790037758837762,0.0926552012497521,0.0,False
humanitarian,0.3187016043270901,0.7673287911866519,0.0824591747761069,0.0555555555555555,False
humanitarian,0.4715390808433664,0.7331847334230732,0.0723970312777203,0.0277777777777777,False
utility_restoration,0.3697955523765515,0.561682863869333,0.0607063114167186,0.0,True
utility_restoration,0.3503902854575237,0.7069958429706569,0.102976190636697,0.0555555555555555,True
humanitarian,0.4024485246850345,0.5848092514254674,0.0953443846453979,0.1111111111111111,False
utility_restoration,0.3935433224728995,0.3703442804405388,0.0158439892778158,0.0,False
utility_restoration,0.2870961327674338,0.8875822951363469,0.1006675277093281,0.0833333333333333,True
humanitarian,0.2250295941040228,0.7548583197564745,0.0836597772830737,0.0,True
utility_restoration,0.4947848514951997,0.5440494981031456,0.1373049838538839,0.0,False
humanitarian,0.168062917872804,0.2971599191803417,0.0142450037872692,0.1111111111111111,False
utility_restoration,0.298611162925156,0.5633766494810561,0.105392330624531,0.0833333333333333,False
utility_restoration,0.24178696292681,0.3487745977606633,0.0090318515093885,0.0,False
utility_restoration,0.3856069235565929,0.7214807996752196,0.0064260464015154,0.0,True
utility_restoration,0.2852259238102491,0.6073084544371811,0.1128231747726642,0.1111111111111111,True
utility_restoration,0.3580972888523679,0.6380049725773463,0.1728998900002352,0.1111111111111111,False
utility_restoration,0.2848120701177286,0.3787972857877105,0.0151117760797174,0.0,False
utility_restoration,0.1955612096246934,0.7215865398505802,0.1479573448632279,0.0,True
humanitarian,0.3204458989385926,0.890563086667722,0.0727409044672023,0.0,False
humanitarian,0.4334452992206481,0.7145012759285823,0.1174025317021673,0.0555555555555555,True
humanitarian,0.189579528879049,0.4265987377583728,0.0114583380941675,0.0,False
humanitarian,0.2732718706332128,0.9299722208705457,0.1389100922585512,0.1666666666666666,True
utility_restoration,0.3838626222799028,0.7782324772200396,0.1046369781274084,0.0555555555555555,True
humanitarian,0.2612288732452204,0.667239718676731,0.0831967210141422,0.0,True
humanitarian,0.4262952715688146,0.861627317762632,0.0814270902866646,0.0277777777777777,True
humanitarian,0.2471298890086717,0.7784337315556878,0.0238699601822163,0.1111111111111111,True
humanitarian,0.3078356349088643,0.7046247703286875,0.1255997520409336,0.0,False
utility_restoration,0.2981693963636331,0.7210288132728642,0.0763225899292634,0.0833333333333333,True
humanitarian,0.3283128575793909,0.7635917392403935,0.0760589510217963,0.0,False
utility_restoration,0.3566912471052748,0.7635658262480148,0.0299138938946116,0.2222222222222222,True
humanitarian,0.1660068148136524,0.88658634724844,0.0236410765297752,0.0,False
humanitarian,0.2881380735902481,0.3982541432747571,0.0127110206764031,0.0,False
utility_restoration,0.3922380667808953,0.709996556883529,0.0622001367329194,0.0555555555555555,True
utility_restoration,0.2914773696384043,0.8262496337084947,0.1183125089348346,0.4444444444444444,True
utility_restoration,0.2327171981369135,0.335402151985214,0.0048243108315889,0.2222222222222222,False
humanitarian,0.4975236048636314,0.6117846626675296,0.0157536969656826,0.3333333333333333,True
utility_restoration,0.324708554486227,0.6538353461262071,0.142093217376818,0.0555555555555555,False
humanitarian,0.2217585322581139,0.7847629608087942,0.1057226188603394,0.1111111111111111,False
utility_restoration,0.2896610777798967,0.8742023936173261,0.127573583888832,0.0,False
