application,feature_block,coverage_target,mean,sem
humanitarian,action_value_margin,0.25,0.4227777777777778,0.021534557211294183
humanitarian,action_value_margin,0.5,0.4359876543209876,0.01818052064191879
humanitarian,action_value_margin,0.75,0.46129833129833125,0.016797472895607807
humanitarian,action_value_margin,1.0,0.4840540348693083,0.015605368769348706
humanitarian,always_act,0.25,0.49361111111111106,0.03189890960241467
humanitarian,always_act,0.5,0.49716049382716054,0.022565478165186115
humanitarian,always_act,0.75,0.4834238909238909,0.017586393766618174
humanitarian,always_act,1.0,0.4840540348693083,0.015605368769348706
humanitarian,calibrated_max_probability,0.25,0.19,0.01659388204028752
humanitarian,calibrated_max_probability,0.5,0.2724074074074074,0.016799018139318875
humanitarian,calibrated_max_probability,0.75,0.37050925925925926,0.016904793964168875
humanitarian,calibrated_max_probability,1.0,0.4840540348693083,0.015605368769348706
humanitarian,combined_generalized_entropic,0.25,0.1363888888888889,0.015518308581626027
humanitarian,combined_generalized_entropic,0.5,0.24919753086419752,0.017498721661661134
humanitarian,combined_generalized_entropic,0.75,0.37276455026455024,0.017289359365994007
humanitarian,combined_generalized_entropic,1.0,0.4840540348693083,0.015605368769348706
humanitarian,conformal_risk_control,0.25,0.22138888888888889,0.01818942399259598
humanitarian,conformal_risk_control,0.5,0.3188271604938272,0.017486250568634305
humanitarian,conformal_risk_control,0.75,0.40766941391941386,0.01716461328292251
humanitarian,conformal_risk_control,1.0,0.4840540348693083,0.015605368769348706
humanitarian,ensemble_variance_proxy,0.25,0.2677777777777778,0.02093271351422517
humanitarian,ensemble_variance_proxy,0.5,0.32098765432098764,0.017954559541029282
humanitarian,ensemble_variance_proxy,0.75,0.38906822344322345,0.017115655789429973
humanitarian,ensemble_variance_proxy,1.0,0.4840540348693083,0.015605368769348706
humanitarian,fixed_severity,0.25,0.5063888888888889,0.031123267056316177
humanitarian,fixed_severity,0.5,0.5028395061728395,0.020109234579087906
humanitarian,fixed_severity,0.75,0.4963927045177045,0.017721211157390677
humanitarian,fixed_severity,1.0,0.4840540348693083,0.015605368769348706
humanitarian,generalized_tsallis_gini,0.25,0.1386111111111111,0.015805648419695794
humanitarian,generalized_tsallis_gini,0.5,0.25253086419753085,0.017608039992053008
humanitarian,generalized_tsallis_gini,0.75,0.3727083333333333,0.01733935139267111
humanitarian,generalized_tsallis_gini,1.0,0.4840540348693083,0.015605368769348706
humanitarian,gini_simpson,0.25,0.43000000000000005,0.021183189052835474
humanitarian,gini_simpson,0.5,0.4360493827160494,0.017902996790573562
humanitarian,gini_simpson,0.75,0.4676729751729751,0.016614307331799746
humanitarian,gini_simpson,1.0,0.4840540348693083,0.015605368769348706
humanitarian,graph_disagreement,0.25,0.4422222222222223,0.02146418140817398
humanitarian,graph_disagreement,0.5,0.4526543209876543,0.01844873337515519
humanitarian,graph_disagreement,0.75,0.4640845034595035,0.016484611948243362
humanitarian,graph_disagreement,1.0,0.4840540348693083,0.015605368769348706
humanitarian,jensen_shannon,0.25,0.4338888888888889,0.022532325753051863
humanitarian,jensen_shannon,0.5,0.45055555555555554,0.018142525848048444
humanitarian,jensen_shannon,0.75,0.47003256003256,0.01714341515821219
humanitarian,jensen_shannon,1.0,0.4840540348693083,0.015605368769348706
humanitarian,jensen_tsallis_q_0_5,0.25,0.44055555555555553,0.022580942375128307
humanitarian,jensen_tsallis_q_0_5,0.5,0.44166666666666665,0.018131878298007595
humanitarian,jensen_tsallis_q_0_5,0.75,0.46866427553927553,0.01696224931096885
humanitarian,jensen_tsallis_q_0_5,1.0,0.4840540348693083,0.015605368769348706
humanitarian,jensen_tsallis_q_1_5,0.25,0.4419444444444444,0.02331591491677083
