application,information_condition,regime,baseline,panels,harm_rate_reduction,harm_ci95_low,harm_ci95_high,net_causal_utility_gain,utility_ci95_low,utility_ci95_high
humanitarian,private_fragmented,compound,kpi_confidence,30,0.0221296296296296,-0.0030555555555555,0.0481481481481481,0.0918029499431345,-0.056495849665579,0.2484252867943448
humanitarian,private_fragmented,correlated,kpi_confidence,30,0.0228571428571428,-0.0055026455026455,0.0557685185185184,0.067077257598994,-0.025690815083177,0.1694593366844897
humanitarian,private_fragmented,isolated_physical,kpi_confidence,30,0.0369047619047619,0.0055545634920634,0.0691269841269841,0.1327371333249657,0.0150155224225894,0.2489092434742371
humanitarian,private_fragmented,nominal,kpi_confidence,30,0.0,0.0,0.0,0.0,0.0,0.0
humanitarian,private_fragmented,ood,kpi_confidence,30,0.0178968253968254,-0.0061111111111111,0.0451068121693121,0.1053401392922071,-0.0457839391510368,0.2681197935262281
humanitarian,private_fragmented,partition,kpi_confidence,30,0.0089417989417989,-0.0144712301587301,0.0325006613756613,0.0797909217484344,-0.0124115261796049,0.1728031148303231
humanitarian,private_fragmented,telemetry_integrity,kpi_confidence,30,0.0493386243386243,0.0202645502645502,0.0785056216931217,0.2144381820914185,0.0980443987499406,0.344415863961625
utility_restoration,private_fragmented,compound,kpi_confidence,30,0.0344576719576719,0.0076319444444444,0.0634391534391534,0.1599672056642131,0.041225732331678,0.282257747167427
utility_restoration,private_fragmented,correlated,kpi_confidence,30,0.0152380952380952,-0.0090231481481481,0.0417195767195767,-0.0096301236421927,-0.1384329792383191,0.1171672289174947
utility_restoration,private_fragmented,isolated_physical,kpi_confidence,30,0.0047619047619047,-0.0214814814814814,0.0313756613756613,0.0081508869781157,-0.0675660413817093,0.086741932481747
utility_restoration,private_fragmented,nominal,kpi_confidence,30,0.0,0.0,0.0,0.0,0.0,0.0
utility_restoration,private_fragmented,ood,kpi_confidence,30,0.0098412698412698,-0.0201587301587301,0.0416970899470898,0.052730813822758,-0.1218657398314942,0.22699013410992
utility_restoration,private_fragmented,partition,kpi_confidence,30,0.0125925925925925,-0.01,0.0344444444444444,0.0978786636638072,-0.0095904057704558,0.2148808691841848
utility_restoration,private_fragmented,telemetry_integrity,kpi_confidence,30,0.0087566137566137,-0.0258730158730158,0.0422354497354497,0.0486797947737436,-0.0648443322709597,0.1600820377838408
