application,step,consensus,error,residual
humanitarian,0,0.9862045602520075,0.0039020835422094095,0.0
humanitarian,2,0.9124377269225511,0.06673374740043915,0.023611111111111104
humanitarian,4,0.9127378068162026,0.09452454277374248,0.07129629629629626
humanitarian,6,0.9128876126076388,0.10466738917181116,0.10983796296296293
humanitarian,8,0.926338803713313,0.11560401461483723,0.16666666666666663
humanitarian,10,0.9227122280355825,0.1151014909475421,0.1532407407407407
utility_restoration,0,0.9857161496724008,0.004142853358953382,0.0
utility_restoration,2,0.9179643866421859,0.07017985534322208,0.02407407407407407
utility_restoration,4,0.9034959239142342,0.09688201723715412,0.07106481481481478
utility_restoration,6,0.9127865745004409,0.10860433641622533,0.1077546296296296
utility_restoration,8,0.9207895205037894,0.13506789234507557,0.16701388888888888
utility_restoration,10,0.9217885008857284,0.1213014971883872,0.15787037037037036
