application,feature_block,coverage_target,mean,sem
humanitarian,action_value_margin,0.25,0.08802045788668914,0.019454523798037703
humanitarian,action_value_margin,0.5,0.08202111616770116,0.016252733054423107
humanitarian,action_value_margin,0.75,0.05895551642898945,0.01495327903580084
humanitarian,action_value_margin,1.0,0.03728463935078943,0.013439284197984947
humanitarian,always_act,0.25,0.04748896573432339,0.026592343536902093
humanitarian,always_act,0.5,0.028019263286397016,0.01877035844366005
humanitarian,always_act,0.75,0.039441005013661073,0.01563175082560828
humanitarian,always_act,1.0,0.03728463935078942,0.013439284197984947
humanitarian,calibrated_max_probability,0.25,0.2574640780788447,0.016002375804338644
humanitarian,calibrated_max_probability,0.5,0.1901019100299629,0.015245136256182115
humanitarian,calibrated_max_probability,0.75,0.11815484477902329,0.014866730095599067
humanitarian,calibrated_max_probability,1.0,0.03728463935078942,0.013439284197984947
humanitarian,combined_generalized_entropic,0.25,0.2919950105775222,0.015311157553716901
humanitarian,combined_generalized_entropic,0.5,0.20949358444144894,0.015435541393172141
humanitarian,combined_generalized_entropic,0.75,0.12030564702988204,0.015018562160528385
humanitarian,combined_generalized_entropic,1.0,0.03728463935078942,0.013439284197984947
humanitarian,conformal_risk_control,0.25,0.2174392925194471,0.016671921571761374
humanitarian,conformal_risk_control,0.5,0.15463952541146886,0.015136767258507702
humanitarian,conformal_risk_control,0.75,0.09246158404004752,0.014935317563505777
humanitarian,conformal_risk_control,1.0,0.03728463935078943,0.013439284197984947
humanitarian,ensemble_variance_proxy,0.25,0.2002899059360071,0.017304496942996603
humanitarian,ensemble_variance_proxy,0.5,0.15737791562729628,0.014966971618271627
humanitarian,ensemble_variance_proxy,0.75,0.10892105600359919,0.014388373842217871
humanitarian,ensemble_variance_proxy,1.0,0.03728463935078943,0.013439284197984947
humanitarian,fixed_severity,0.25,0.058467882594110926,0.031061921162890825
humanitarian,fixed_severity,0.5,0.04467877189016517,0.018863203538641002
humanitarian,fixed_severity,0.75,0.03611224625157074,0.01572958470532898
humanitarian,fixed_severity,1.0,0.03728463935078942,0.013439284197984947
humanitarian,generalized_tsallis_gini,0.25,0.28959276524285077,0.01586547376035569
humanitarian,generalized_tsallis_gini,0.5,0.2058766032818292,0.015233802724132738
humanitarian,generalized_tsallis_gini,0.75,0.11846784522692869,0.015167004309660405
humanitarian,generalized_tsallis_gini,1.0,0.03728463935078942,0.013439284197984947
humanitarian,gini_simpson,0.25,0.08865317424476023,0.018208480978853917
humanitarian,gini_simpson,0.5,0.07772718879790272,0.01556637509011795
humanitarian,gini_simpson,0.75,0.058019304994506526,0.014348343749365671
humanitarian,gini_simpson,1.0,0.03728463935078943,0.013439284197984947
humanitarian,graph_disagreement,0.25,0.07739518023764833,0.019464497886067217
humanitarian,graph_disagreement,0.5,0.05932577280937115,0.0162876796179891
humanitarian,graph_disagreement,0.75,0.05338127516915461,0.014743076076901387
humanitarian,graph_disagreement,1.0,0.03728463935078942,0.013439284197984947
humanitarian,jensen_shannon,0.25,0.07850334991929366,0.021869862469873696
humanitarian,jensen_shannon,0.5,0.06538951874131609,0.017354625155789755
humanitarian,jensen_shannon,0.75,0.049645646260193084,0.015270789695309034
humanitarian,jensen_shannon,1.0,0.03728463935078942,0.013439284197984947
humanitarian,jensen_tsallis_q_0_5,0.25,0.07534350447763674,0.021605434861079485
