application,policy,harmful_action_rate
commercial,coverage_matched_no_consensus,0.101010101010101
commercial,mandatory_intervention,0.1455696202531645
commercial,operator_budget_matched_escalation,0.1034482758620689
commercial,original_safe,0.1212121212121212
commercial,same_score_no_consensus,0.1034482758620689
humanitarian,coverage_matched_no_consensus,0.2234042553191489
humanitarian,mandatory_intervention,0.220125786163522
humanitarian,operator_budget_matched_escalation,0.2129629629629629
humanitarian,original_safe,0.202127659574468
humanitarian,same_score_no_consensus,0.2129629629629629
utility_restoration,coverage_matched_no_consensus,0.2058823529411764
utility_restoration,mandatory_intervention,0.18125
utility_restoration,operator_budget_matched_escalation,0.1860465116279069
utility_restoration,original_safe,0.1323529411764706
utility_restoration,same_score_no_consensus,0.1860465116279069
