sender,recipient,reliability,step,sender_entropy,recipient_entropy,pairwise_disagreement
humanitarian_ngo_01_1,humanitarian_regional_hub_01_2,0.7839823711655535,2,0.6565779597042342,0.8748460125537673,0.03426817976261387
humanitarian_ngo_01_1,humanitarian_clinic_01_3,0.9631546988378952,2,0.6565779597042342,0.6180924192383714,0.004681162397796812
humanitarian_regional_hub_01_2,humanitarian_clinic_01_3,0.7336662061214346,2,0.8748460125537673,0.6180924192383714,0.036726760934527314
humanitarian_clinic_01_3,humanitarian_ngo_01_1,0.813052169704791,2,0.6180924192383714,0.6565779597042342,0.004681162397796812
humanitarian_clinic_01_3,humanitarian_regional_hub_01_2,0.8156597485519363,2,0.6180924192383714,0.8748460125537673,0.036726760934527314
humanitarian_regional_hub_02_1,humanitarian_clinic_02_2,0.9534540313044586,2,0.6650949360881403,0.6789249511836394,0.0008588079169660201
humanitarian_regional_hub_02_1,humanitarian_ngo_02_3,0.7989967296367619,2,0.6650949360881403,0.7019870666644735,0.0022306373548792724
humanitarian_clinic_02_2,humanitarian_regional_hub_02_1,0.7745067169159533,2,0.6789249511836394,0.6650949360881403,0.0008588079169660201
humanitarian_clinic_02_2,humanitarian_ngo_02_3,0.8042497588808084,2,0.6789249511836394,0.7019870666644735,0.0018970398468211025
humanitarian_ngo_02_3,humanitarian_regional_hub_02_1,0.963763191931919,2,0.7019870666644735,0.6650949360881403,0.0022306373548792724
humanitarian_ngo_02_3,humanitarian_clinic_02_2,0.9524676923154479,2,0.7019870666644735,0.6789249511836394,0.0018970398468211025
humanitarian_clinic_03_1,humanitarian_ngo_03_2,0.9115391591591697,2,0.8197910396217416,0.7858687225765545,0.09033119488329766
humanitarian_clinic_03_1,humanitarian_regional_hub_03_3,0.7420052246140911,2,0.8197910396217416,0.7328934224680357,0.04799840847199899
humanitarian_ngo_03_2,humanitarian_regional_hub_03_3,0.8805941902934454,2,0.7858687225765545,0.7328934224680357,0.07868191120798229
humanitarian_regional_hub_03_3,humanitarian_clinic_03_1,0.9623980471875229,2,0.7328934224680357,0.8197910396217416,0.04799840847199899
humanitarian_regional_hub_03_3,humanitarian_ngo_03_2,0.8815442212702405,2,0.7328934224680357,0.7858687225765545,0.07868191120798229
humanitarian_ngo_04_1,humanitarian_regional_hub_04_2,0.729401607740952,2,0.6801644961621972,0.7167344112738105,0.14093699397873738
humanitarian_ngo_04_1,humanitarian_clinic_04_3,0.8921251759771945,2,0.6801644961621972,0.6236399877413908,0.002779743241321797
humanitarian_regional_hub_04_2,humanitarian_ngo_04_1,0.7796902085742623,2,0.7167344112738105,0.6801644961621972,0.14093699397873738
humanitarian_regional_hub_04_2,humanitarian_clinic_04_3,0.7998835732065465,2,0.7167344112738105,0.6236399877413908,0.15165264569290038
humanitarian_clinic_04_3,humanitarian_ngo_04_1,0.8871991012299741,2,0.6236399877413908,0.6801644961621972,0.002779743241321797
humanitarian_clinic_04_3,humanitarian_regional_hub_04_2,0.8704547056296761,2,0.6236399877413908,0.7167344112738105,0.15165264569290038
