run_id,application,regime,information_condition,method,environment_seed,operator_seed,rl_seed,status,primary_outcome,service_loss_auc,cumulative_weighted_unmet_need,cumulative_critical_unserved_load,operator_interventions,operator_minutes,operator_workload_auc,maximum_operator_workload,mean_queue_wait_steps,maximum_queue_length,operator_requests,timely_activation,missed_activation,pre_disruption_false_activation,nominal_false_activation,first_request_step,first_visible_collapse_step,complete_causal_chains,harmful_interventions,beneficial_interventions,mean_counterfactual_effect,structured_attempts,first_pass_valid,valid_after_repair,material_actions_accepted,material_actions_next_stage,material_actions_reached_service,commitment_changes,agent_messages,agent_message_bytes,thermodynamic_sketch_messages,thermodynamic_sketch_bytes,tool_calls,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,wall_clock_seconds,maximum_conservation_residual,conservation_feasible,active_incidents
implementation_pilot_v1_coordination-commercial-no_communication-telemetry_integrity-private_fragmented-e24001-o124001-rnone,commercial,telemetry_integrity,private_fragmented,no_communication,24001,124001,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.1566811070078984,0.0,True,1
implementation_pilot_v1_coordination-commercial-no_communication-telemetry_integrity-private_fragmented-e24002-o124002-rnone,commercial,telemetry_integrity,private_fragmented,no_communication,24002,124002,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.15413217002060264,0.0,True,1
implementation_pilot_v1_coordination-commercial-no_communication-telemetry_integrity-private_fragmented-e24003-o124003-rnone,commercial,telemetry_integrity,private_fragmented,no_communication,24003,124003,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.15740409697173163,0.0,True,1
implementation_pilot_v1_coordination-commercial-fixed_communication-telemetry_integrity-private_fragmented-e24001-o124001-rnone,commercial,telemetry_integrity,private_fragmented,fixed_communication,24001,124001,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,600,130653,1,0,0,0,0.0,0.16648108302615583,0.0,True,1
implementation_pilot_v1_coordination-commercial-fixed_communication-telemetry_integrity-private_fragmented-e24002-o124002-rnone,commercial,telemetry_integrity,private_fragmented,fixed_communication,24002,124002,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,600,130653,1,0,0,0,0.0,0.16588495601899922,0.0,True,1
implementation_pilot_v1_coordination-commercial-fixed_communication-telemetry_integrity-private_fragmented-e24003-o124003-rnone,commercial,telemetry_integrity,private_fragmented,fixed_communication,24003,124003,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,600,130653,1,0,0,0,0.0,0.16084109002258629,0.0,True,1
implementation_pilot_v1_coordination-commercial-no_communication-partition-private_fragmented-e24001-o124001-rnone,commercial,partition,private_fragmented,no_communication,24001,124001,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.16097872599493712,0.0,True,1
implementation_pilot_v1_coordination-commercial-no_communication-partition-private_fragmented-e24002-o124002-rnone,commercial,partition,private_fragmented,no_communication,24002,124002,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.16621388302883133,0.0,True,1
implementation_pilot_v1_coordination-commercial-no_communication-partition-private_fragmented-e24003-o124003-rnone,commercial,partition,private_fragmented,no_communication,24003,124003,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.1549985289457254,0.0,True,1
implementation_pilot_v1_coordination-commercial-fixed_communication-partition-private_fragmented-e24001-o124001-rnone,commercial,partition,private_fragmented,fixed_communication,24001,124001,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,460,100263,1,0,0,0,0.0,0.16537049901671708,0.0,True,1
implementation_pilot_v1_coordination-commercial-fixed_communication-partition-private_fragmented-e24002-o124002-rnone,commercial,partition,private_fragmented,fixed_communication,24002,124002,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,460,100263,1,0,0,0,0.0,0.16051832702942193,0.0,True,1
implementation_pilot_v1_coordination-commercial-fixed_communication-partition-private_fragmented-e24003-o124003-rnone,commercial,partition,private_fragmented,fixed_communication,24003,124003,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,460,100263,1,0,0,0,0.0,0.16077432298334315,0.0,True,1
implementation_pilot_v1_coordination-commercial-no_communication-compound-private_fragmented-e24001-o124001-rnone,commercial,compound,private_fragmented,no_communication,24001,124001,,complete,16.643222400000003,16.643222400000003,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,1,0,0,0,0,0,3,0,0,0,0.0,0.15906436403747648,0.0,True,3
implementation_pilot_v1_coordination-commercial-no_communication-compound-private_fragmented-e24002-o124002-rnone,commercial,compound,private_fragmented,no_communication,24002,124002,,complete,16.643222400000003,16.643222400000003,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,1,0,0,0,0,0,3,0,0,0,0.0,0.1677145300200209,0.0,True,3
implementation_pilot_v1_coordination-commercial-no_communication-compound-private_fragmented-e24003-o124003-rnone,commercial,compound,private_fragmented,no_communication,24003,124003,,complete,16.643222400000003,16.643222400000003,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,1,0,0,0,0,0,3,0,0,0,0.0,0.17015780095243827,0.0,True,3
implementation_pilot_v1_coordination-commercial-fixed_communication-compound-private_fragmented-e24001-o124001-rnone,commercial,compound,private_fragmented,fixed_communication,24001,124001,,complete,16.643222400000003,16.643222400000003,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,1,0,2,447,460,100618,3,0,0,0,0.0,0.16638318705372512,0.0,True,3
