family,n_agents,orientation,cluster_id,paired_excess_irreversibility
small_network,3,forward,small_n3_g0,9.019896129424869e-05
small_network,3,forward,small_n3_g1,0.0069774127262875775
small_network,3,forward,small_n3_g2,-9.930631224303602e-07
small_network,3,forward,small_n3_g3,9.652623837957994e-05
small_network,3,transpose,small_n3_g0,9.019896129424869e-05
small_network,3,transpose,small_n3_g1,-8.838732004937752e-05
small_network,3,transpose,small_n3_g2,-4.296722423726417e-05
small_network,3,transpose,small_n3_g3,9.652623837957994e-05
small_network,4,forward,small_n4_g0,-4.02586469906705e-05
small_network,4,forward,small_n4_g1,-2.0160062221374046e-05
small_network,4,forward,small_n4_g2,-0.004716911298281327
small_network,4,forward,small_n4_g3,-0.012096148294425456
small_network,4,transpose,small_n4_g0,0.0
small_network,4,transpose,small_n4_g1,2.2099610311856493e-05
small_network,4,transpose,small_n4_g2,-3.282655967036224e-05
small_network,4,transpose,small_n4_g3,0.0059424730805960856
collective_network,8,forward,collective_n8_modular_k0.35_t0.50_g0,0.002868467582998732
collective_network,8,forward,collective_n8_modular_k0.35_t0.50_g1,0.010889571238835272
collective_network,8,forward,collective_n8_modular_k0.35_t0.85_g0,-0.07445677167338718
collective_network,8,forward,collective_n8_modular_k0.35_t0.85_g1,-0.004816543021770675
collective_network,8,forward,collective_n8_modular_k0.80_t0.50_g0,-9.769209039965643e-05
collective_network,8,forward,collective_n8_modular_k0.80_t0.50_g1,0.08481172195539083
collective_network,8,forward,collective_n8_modular_k0.80_t0.85_g0,-0.019195425739018973
collective_network,8,forward,collective_n8_modular_k0.80_t0.85_g1,0.0013715445111921118
collective_network,8,forward,collective_n8_ring_k0.35_t0.50_g0,0.0017668581300337022
collective_network,8,forward,collective_n8_ring_k0.35_t0.50_g1,0.029255215509649685
collective_network,8,forward,collective_n8_ring_k0.35_t0.85_g0,0.021987052450371712
collective_network,8,forward,collective_n8_ring_k0.35_t0.85_g1,0.0
collective_network,8,forward,collective_n8_ring_k0.80_t0.50_g0,-0.005612161971737542
collective_network,8,forward,collective_n8_ring_k0.80_t0.50_g1,0.003274863912613668
collective_network,8,forward,collective_n8_ring_k0.80_t0.85_g0,0.017827302155787074
collective_network,8,forward,collective_n8_ring_k0.80_t0.85_g1,0.001237683081113512
collective_network,8,transpose,collective_n8_modular_k0.35_t0.50_g0,0.015875536470387204
collective_network,8,transpose,collective_n8_modular_k0.35_t0.50_g1,0.006632653645406383
collective_network,8,transpose,collective_n8_modular_k0.35_t0.85_g0,-0.002831147232777248
collective_network,8,transpose,collective_n8_modular_k0.35_t0.85_g1,0.000461914610442829
collective_network,8,transpose,collective_n8_modular_k0.80_t0.50_g0,-0.005355382539234663
collective_network,8,transpose,collective_n8_modular_k0.80_t0.50_g1,0.07812461071282459
collective_network,8,transpose,collective_n8_modular_k0.80_t0.85_g0,0.022819986314961495
collective_network,8,transpose,collective_n8_modular_k0.80_t0.85_g1,-0.05940079291571806
collective_network,8,transpose,collective_n8_ring_k0.35_t0.50_g0,0.002323741118545525
