panel_id,rank,source_state,target_state,current,state_representation
collective_n16_modular_k0.35_t0.50_g0_a0.00_reciprocal,1,2,3,3.625572064791527e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.00_reciprocal,2,3,4,3.0639553394440355e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.00_reciprocal,3,1,2,3.0184188481996443e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.00_reciprocal,4,0,4,-8.960930955592694e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_forward,1,2,3,3.625572064791527e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_forward,2,3,4,3.0639553394440355e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_forward,3,1,2,3.0184188481996443e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_forward,4,0,4,-8.960930955592694e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_transpose,1,2,3,3.625572064791527e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_transpose,2,3,4,3.0639553394440355e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_transpose,3,1,2,3.0184188481996443e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.20_transpose,4,0,4,-8.960930955592694e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_forward,1,1,2,3.174543961037557e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_forward,2,2,5,2.918672248330978e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_forward,3,3,5,-2.259477327459791e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_forward,4,0,4,1.3871011544236422e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_forward,5,1,6,-1.3530843112619095e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_forward,6,3,4,4.6241222656506764e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_transpose,1,2,3,3.625572064791527e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_transpose,2,3,4,3.0639553394440355e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_transpose,3,1,2,3.0184188481996443e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.50_transpose,4,0,4,-8.960930955592694e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_forward,1,1,2,3.174543961037557e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_forward,2,2,5,2.918672248330978e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_forward,3,3,5,-2.259477327459791e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_forward,4,0,4,1.3871011544236422e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_forward,5,1,6,-1.3530843112619095e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_forward,6,3,4,4.6241222656506764e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_transpose,1,2,3,3.625572064791527e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_transpose,2,3,4,3.0639553394440355e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_transpose,3,1,2,3.0184188481996443e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g0_a0.80_transpose,4,0,4,-8.960930955592694e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g1_a0.00_reciprocal,1,1,2,1.0993810029003015e-16,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g1_a0.00_reciprocal,2,1,4,6.852157730108388e-17,predeclared_macrostate
collective_n16_modular_k0.35_t0.50_g1_a0.00_reciprocal,3,0,4,-4.163336342344337e-17,predeclared_macrostate
