run_id,application,regime,information_condition,sketch_policy,environment_seed,failure_type,failure_reason
v5-humanitarian-correlated-public_shared-event_triggered-e51010,humanitarian,correlated,public_shared,event_triggered,51010,FileExistsError,V5 output already exists: v5-humanitarian-correlated-public_shared-event_triggered-e51010
v5-humanitarian-correlated-public_shared-event_triggered-e51012,humanitarian,correlated,public_shared,event_triggered,51012,FileExistsError,V5 output already exists: v5-humanitarian-correlated-public_shared-event_triggered-e51012
v5-humanitarian-correlated-public_shared-event_triggered-e51014,humanitarian,correlated,public_shared,event_triggered,51014,FileExistsError,V5 output already exists: v5-humanitarian-correlated-public_shared-event_triggered-e51014
v5-humanitarian-correlated-public_shared-event_triggered-e51016,humanitarian,correlated,public_shared,event_triggered,51016,FileExistsError,V5 output already exists: v5-humanitarian-correlated-public_shared-event_triggered-e51016
v5-humanitarian-correlated-public_shared-event_triggered-e51018,humanitarian,correlated,public_shared,event_triggered,51018,FileExistsError,V5 output already exists: v5-humanitarian-correlated-public_shared-event_triggered-e51018
v5-humanitarian-correlated-public_shared-event_triggered-e51020,humanitarian,correlated,public_shared,event_triggered,51020,FileExistsError,V5 output already exists: v5-humanitarian-correlated-public_shared-event_triggered-e51020
v5-humanitarian-compound-private_fragmented-event_triggered-e51002,humanitarian,compound,private_fragmented,event_triggered,51002,FileExistsError,V5 output already exists: v5-humanitarian-compound-private_fragmented-event_triggered-e51002
v5-humanitarian-compound-private_fragmented-event_triggered-e51004,humanitarian,compound,private_fragmented,event_triggered,51004,FileExistsError,V5 output already exists: v5-humanitarian-compound-private_fragmented-event_triggered-e51004
v5-humanitarian-compound-private_fragmented-event_triggered-e51006,humanitarian,compound,private_fragmented,event_triggered,51006,FileExistsError,V5 output already exists: v5-humanitarian-compound-private_fragmented-event_triggered-e51006
v5-humanitarian-compound-private_fragmented-event_triggered-e51008,humanitarian,compound,private_fragmented,event_triggered,51008,FileExistsError,V5 output already exists: v5-humanitarian-compound-private_fragmented-event_triggered-e51008
v5-humanitarian-compound-private_fragmented-event_triggered-e51010,humanitarian,compound,private_fragmented,event_triggered,51010,FileExistsError,V5 output already exists: v5-humanitarian-compound-private_fragmented-event_triggered-e51010
