model_key,condition,phase,belief_magnetization,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_markovized,baseline,-1.0,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,-0.875,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,-0.75,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,-0.625,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,-0.5,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,-0.375,probability,0.04722222222222222,0.0,0.14166666666666666,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,-0.25,probability,0.11527777777777777,0.0,0.2652777777777778,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,-0.125,probability,0.32708333333333334,0.07222222222222223,0.6006944444444445,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.0,probability,0.17430555555555552,0.022222222222222223,0.42569444444444443,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.125,probability,0.20069444444444443,0.004166666666666667,0.5104166666666666,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.25,probability,0.13541666666666666,0.0006944444444444445,0.3861111111111111,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.375,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.5,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.625,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.75,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,0.875,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,1.0,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-1.0,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-0.875,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-0.75,probability,0.05277777777777778,0.0,0.15833333333333333,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-0.625,probability,0.06874999999999999,0.0062499999999999995,0.13819444444444445,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-0.5,probability,0.2833333333333333,0.05555555555555555,0.5972222222222222,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-0.375,probability,0.07986111111111112,0.0006944444444444445,0.23055555555555554,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-0.25,probability,0.004861111111111111,0.0,0.011805555555555555,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,-0.125,probability,0.006250000000000001,0.0,0.014583333333333332,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.0,probability,0.06666666666666667,0.004166666666666667,0.15833333333333333,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.125,probability,0.06736111111111111,0.0,0.15347222222222226,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.25,probability,0.1361111111111111,0.005555555555555556,0.28611111111111115,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.375,probability,0.1729166666666667,0.019444444444444445,0.3729166666666666,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.5,probability,0.003472222222222222,0.0,0.010416666666666666,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.625,probability,0.02152777777777778,0.0,0.06458333333333334,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.75,probability,0.018055555555555557,0.0,0.05416666666666667,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,0.875,probability,0.018055555555555557,0.0,0.05416666666666667,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,1.0,probability,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
