model_key,cluster_id,panel_id,condition,block_length,pseudocount,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,shuffle_floor_median_nats_per_update,shuffle_floor_null_ci_low,shuffle_floor_null_ci_high,shuffle_floor_null_sd,shuffle_floor_monte_carlo_se,shuffle_floor_mean_mc_ci_low,shuffle_floor_mean_mc_ci_high,shuffle_replicates,adjusted_irreversibility_nats_per_update,analysis_role
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,0.1,0.039793587710663034,0.06921572844670372,0.06762804388406293,0.04049318289247834,0.10295337800991747,0.01717735496920368,0.0007681946676956647,0.06771006689802021,0.07072138999538723,500.0,-0.029422140736040686,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,0.5,0.017827379937819233,0.035744654889784226,0.034649563534592254,0.0210918329969134,0.05353031824296142,0.008707776330754428,0.00038942359616861183,0.034981384641293745,0.03650792513827471,500.0,-0.017917274951964993,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,1.0,0.010944429166735978,0.023918589063807085,0.023624005503532688,0.012293373884401625,0.03789048670274368,0.006418319607956245,0.00028703597889419925,0.023355998545174454,0.024481179582439717,500.0,-0.012974159897071107,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,0.1,0.03641702057266612,0.09540561062694096,0.09482776789620989,0.06715929898556725,0.12555119299533046,0.0154905640608395,0.0006927590849970462,0.09404780282034675,0.09676341843353517,500.0,-0.05898859005427484,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,0.5,0.01612372938672343,0.04547201501927846,0.04496382272520198,0.031592935887269934,0.06164048098638485,0.007878161496873889,0.00035232209289463027,0.04478146371720498,0.04616256632135193,500.0,-0.029348285632555027,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,1.0,0.009762636345914722,0.02792045264632852,0.027387272673180682,0.020073700427161938,0.03822653589554984,0.0047570439352676635,0.0002127414722242321,0.027503479360769027,0.028337425931888014,500.0,-0.018157816300413798,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,0.1,0.033065296094847936,0.11904382669965138,0.11860981127061283,0.09525069470769289,0.1466058506117707,0.01363365771381841,0.0006097157086012467,0.11784878391079294,0.12023886948850983,500.0,-0.08597853060480345,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,0.5,0.014493565813563458,0.05262074895195323,0.05248012494128271,0.04143883964008723,0.06599315617469707,0.006468198922105664,0.0002892666496363826,0.052053786318665925,0.05318771158524054,500.0,-0.038127183138389774,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,1.0,0.008675183736670153,0.030868149231940378,0.03053283025810513,0.02399186891843401,0.04042190812034265,0.0038068168893353035,0.00017024602684896065,0.030534467019316416,0.03120183144456434,500.0,-0.022192965495270223,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,2,0.1,0.11975081230837971,0.1646939733343505,0.16380959280719298,0.11690123867442903,0.21890166317619367,0.02670852683599451,0.0011944416316832219,0.1623528677362514,0.16703507893244962,500.0,-0.044943161025970804,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,2,0.5,0.05255825612007676,0.07820850519399897,0.07787232702387409,0.0557020071005112,0.10221102665133537,0.011859997345679224,0.0005303952055581163,0.07716893059110506,0.07924807979689287,500.0,-0.02565024907392221,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,2,1.0,0.03138884314058946,0.048600061571450165,0.04784082977835445,0.03373188121049004,0.06673558842683322,0.008332913749603684,0.00037265923189512995,0.04786964947693571,0.049330473665964616,500.0,-0.0172112184308607,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,3,0.1,0.08476970853051338,0.19688048188259763,0.19653147034484506,0.16004649624037337,0.23217205390259332,0.018360218254980215,0.0008210939219973665,0.1952711377954828,0.19848982596971246,500.0,-0.11211077335208425,post_reconstruction_floor_uncertainty_audit
