phase,lag_truncation_sweeps,lag_truncation_updates,is_primary,lag_estimable,integrated_autocorrelation_time_updates,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,1,16,False,True,8.15601447831637,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,32,True,True,10.057811937964374,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,48,False,True,14.937613893246118,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,1,16,False,True,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,2,32,True,True,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,3,48,False,True,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,1,16,False,True,4.77446931797607,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,2,32,True,True,4.695026457584955,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,3,48,False,True,4.553356587109382,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,16,False,True,8.15601447831637,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,2,32,True,True,10.057811937964374,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,3,48,False,True,14.937613893246118,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,1,16,False,True,6.53667662985846,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,2,32,True,True,6.118624628781829,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,3,48,False,True,4.679686673959101,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,1,16,False,True,4.988680365059199,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,2,32,True,True,4.908200729981086,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,3,48,False,True,4.764681986807627,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,1,16,False,True,3.3964492507813775,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,2,32,True,True,2.5581928209716405,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,3,48,False,True,-0.8786052791395469,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,1,16,False,True,6.085116658270167,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,2,32,True,True,5.988346241993054,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,3,48,False,True,5.815776268148317,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,1,16,False,True,6.760626014512979,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,2,32,True,True,6.734362907843781,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,3,48,False,True,6.534215056434801,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,1,16,False,True,5.578828032097353,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2,32,True,True,5.84904468258571,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3,48,False,True,4.162492037288285,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1,16,False,True,6.648067846096298,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2,32,True,True,6.668841747899509,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3,48,False,True,6.6749670754170385,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1,16,False,True,6.7518744666642885,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2,32,True,True,5.534164318611673,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3,48,False,True,5.2978828213796,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1,16,False,True,13.049596254058475,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,2,32,True,True,21.375585599346287,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,3,48,False,True,27.21429974251965,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,1,16,False,True,5.492062520388339,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,2,32,True,True,4.457621911020374,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,3,48,False,True,3.272526435132146,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,1,16,False,True,6.227582016158733,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,2,32,True,True,5.119139152933562,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,3,48,False,True,4.570067086442415,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,1,16,False,True,13.049596254058475,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,2,32,True,True,21.375585599346287,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,3,48,False,True,27.21429974251965,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,1,16,False,True,0.09941463229272707,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,2,32,True,True,0.09602467721110264,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,3,48,False,True,0.0899793951685458,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,1,16,False,True,2.8150178996306483,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,2,32,True,True,2.170292946781209,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,3,48,False,True,1.3596223293308078,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,1,16,False,True,11.388629524179546,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,2,32,True,True,20.641037267788704,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,3,48,False,True,27.001924825371432,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,1,16,False,True,0.09941463229272707,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,2,32,True,True,0.09602467721110264,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,3,48,False,True,0.0899793951685458,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,1,16,False,True,2.651070758682187,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,2,32,True,True,2.609543808932286,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,3,48,False,True,2.5354891039109635,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,1,16,False,True,8.471861065334721,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2,32,True,True,12.96855015099224,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3,48,False,True,12.455826208729007,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1,16,False,True,2.4666063619344554,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2,32,True,True,2.589898601902089,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3,48,False,True,3.072097863040195,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1,16,False,True,2.651070758682187,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2,32,True,True,2.609543808932286,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3,48,False,True,2.5354891039109635,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1,16,False,True,9.976988409916538,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,2,32,True,True,13.285081559726834,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
