model_key,condition,phase,lag_updates,lag_sweeps,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_markovized,baseline,0,0.0,autocorrelation,1.0,1.0,1.0,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,1,0.0625,autocorrelation,0.9386522981392676,0.9007777225984643,0.97037718429107,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,2,0.125,autocorrelation,0.901894822848211,0.8456055337489881,0.9408948667219619,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,3,0.1875,autocorrelation,0.8512679143780556,0.782209547262548,0.9064147927721627,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,4,0.25,autocorrelation,0.8080354484765176,0.7305131123276595,0.8737538343490198,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,5,0.3125,autocorrelation,0.7617890936643602,0.6671911434797478,0.8390084678717593,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,6,0.375,autocorrelation,0.723240040469633,0.6155216875163788,0.8127332509239354,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,7,0.4375,autocorrelation,0.683620293120903,0.5592917300294742,0.7860389663509069,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,8,0.5,autocorrelation,0.6444622284324619,0.5060273498359007,0.7633351096568536,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,9,0.5625,autocorrelation,0.6057718422830146,0.45128501889001343,0.7396928856892407,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,10,0.625,autocorrelation,0.5659955674214282,0.39302565871178263,0.7150956265936784,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,11,0.6875,autocorrelation,0.5144031193143778,0.2997875651961564,0.6902039380771118,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,12,0.75,autocorrelation,0.4761051600757258,0.24080706186022757,0.6684005095086144,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,13,0.8125,autocorrelation,0.4374697738834293,0.18443245430484737,0.6347840261215658,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,14,0.875,autocorrelation,0.4132880485666137,0.16871261576617366,0.6144481870540347,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,15,0.9375,autocorrelation,0.3904857012619935,0.15286015971788228,0.5999677191276253,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,16,1.0,autocorrelation,0.3690812057822321,0.13926475712612266,0.5760205969379033,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,17,1.0625,autocorrelation,0.34748474173314525,0.1180969563016963,0.559184110934291,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,18,1.125,autocorrelation,0.3256937149448776,0.1054757097443668,0.5385167419173985,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,19,1.1875,autocorrelation,0.3137607884672239,0.09288103196425629,0.5182768455511804,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,20,1.25,autocorrelation,0.3026864988281679,0.09883123269023945,0.4995197023301552,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,21,1.3125,autocorrelation,0.291511074123915,0.09150228580167814,0.4813600342358059,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,22,1.375,autocorrelation,0.28023312258751304,0.08103867217680179,0.4627350926236064,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,23,1.4375,autocorrelation,0.2688512267973194,0.08172823577995551,0.44408851627466456,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,24,1.5,autocorrelation,0.27118373302233534,0.11195157253087096,0.42526928644101036,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,25,1.5625,autocorrelation,0.25895966554614697,0.10587041039312543,0.4062749940042525,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,26,1.625,autocorrelation,0.24662135444868585,0.10114615957800595,0.38710318481574907,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,27,1.6875,autocorrelation,0.2341671906648636,0.09566735864415894,0.3710622693157934,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,28,1.75,autocorrelation,0.22159553476987323,0.09013687090904919,0.35225503280759446,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,29,1.8125,autocorrelation,0.20890471625976445,0.08538559173305749,0.33242384078647136,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,30,1.875,autocorrelation,0.19609303281146415,0.07976551909774465,0.31240378026990895,6.0,6.0,0.0,10000.0
