phase,agent_i,agent_j,community_i,community_j,connected_correlation,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,0,0,0,0,0.7415972222222222,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,2,0,0,0.11312500000000003,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,4,0,0,0.2639583333333334,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,5,0,0,0.13111111111111104,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,6,0,0,-0.49166666666666664,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,9,0,1,0.07541666666666674,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,11,0,1,-0.037708333333333344,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,14,0,1,-0.5153472222222222,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,15,0,1,-0.2765277777777778,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,0,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,2,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,4,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,5,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,6,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,9,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,11,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,14,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,15,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,0,0,0,0.11312500000000003,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,2,0,0,0.14437499999999992,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,4,0,0,0.13687500000000008,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,5,0,0,0.020000000000000018,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,6,0,0,-0.075,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,9,0,1,0.09624999999999995,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,11,0,1,-0.04812499999999997,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,14,0,1,-0.1243749999999999,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,15,0,1,-0.13624999999999998,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
