phase,belief_magnetization,count,probability,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,-1.0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.875,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.75,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.625,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.5,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.375,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.25,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.125,3,0.0125,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.0,120,0.5,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.125,108,0.45,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.25,9,0.0375,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.375,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.5,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.625,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.75,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.875,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1.0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-1.0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.875,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.75,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.625,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.5,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.375,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.25,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.125,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.0,240,1.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.125,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.25,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.375,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.5,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.625,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.75,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.875,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,1.0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-1.0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-0.875,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-0.75,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-0.625,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-0.5,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-0.375,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-0.25,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-0.125,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.0,230,0.9583333333333334,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.125,10,0.041666666666666664,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.25,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.375,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.5,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.625,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.75,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.875,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,1.0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,-1.0,0,0.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,-0.875,0,0.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,-0.75,0,0.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,-0.625,0,0.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,-0.5,0,0.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
