phase,lag_updates,lag_sweeps,autocorrelation,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
disruption,13,0.8125,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,14,0.875,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,15,0.9375,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,16,1.0,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,17,1.0625,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,18,1.125,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,19,1.1875,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,20,1.25,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,21,1.3125,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,22,1.375,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,23,1.4375,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,24,1.5,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,25,1.5625,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,26,1.625,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,27,1.6875,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,28,1.75,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,29,1.8125,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,30,1.875,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,31,1.9375,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,32,2.0,,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0,0.0,1.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,1,0.0625,0.8992177551391668,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,2,0.125,0.7975886006576544,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,3,0.1875,0.6951018161805174,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,4,0.25,0.5917464996315401,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,5,0.3125,0.48751156336725254,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,6,0.375,0.3823857302118172,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,7,0.4375,0.2808359768613547,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
