phase,graph_distance,connected_correlation,pair_count,within_pair_sd,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
disruption,4.0,0.027847222222222207,6.0,0.06400463548992003,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,1.0,-0.006516203703703695,24.0,0.09332650066528216,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,2.0,-0.024821859903381645,46.0,0.08130526590948482,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,3.0,0.012091224747474743,44.0,0.10540314822599689,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,4.0,0.010775462962962981,6.0,0.08547834738491601,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,1.0,0.011131365740740739,24.0,0.06283826029453107,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,2.0,-0.04636322463768116,46.0,0.15738399700553374,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,3.0,0.006764520202020201,44.0,0.15572023334845386,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,4.0,0.0236111111111111,6.0,0.039954545933357066,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,1.0,-0.013255208333333332,24.0,0.09116599314087821,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,2.0,-0.015584239130434779,46.0,0.090087688734595,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,3.0,0.006459911616161609,44.0,0.10120912580711293,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,4.0,0.03950231481481481,6.0,0.07089170275712478,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,1.0,-0.006455439814814806,24.0,0.09304577486446264,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,2.0,-0.02462107487922706,46.0,0.08068271905754383,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,3.0,0.012929292929292924,44.0,0.10659499043687913,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,4.0,0.010775462962962981,6.0,0.08547834738491601,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,1.0,0.010046296296296294,24.0,0.06547981975079444,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2.0,-0.03952747584541063,46.0,0.13578259250372637,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3.0,0.004004103535353537,44.0,0.1535113955985934,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,4.0,0.0236111111111111,6.0,0.039954545933357066,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1.0,-0.013240740740740728,24.0,0.09084384418816258,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2.0,-0.015164553140096614,46.0,0.08959296813760952,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3.0,0.00657354797979797,44.0,0.10073260764731698,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,4.0,0.04134259259259258,6.0,0.06778130208657424,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1.0,-0.006142939814814799,24.0,0.09207837381074169,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2.0,-0.024294987922705326,46.0,0.07957038597116815,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3.0,0.01213383838383837,44.0,0.10558998036549798,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,4.0,0.008900462962962966,6.0,0.08332470344975558,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1.0,0.0073263888888889005,24.0,0.036514176808805254,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,2.0,-0.004474431818181819,44.0,0.06176777580792856,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,3.0,0.0008727904040404054,44.0,0.07428983176284513,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,4.0,-0.008220486111111116,8.0,0.0311269609901047,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,1.0,0.0,24.0,0.0,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,2.0,0.0,44.0,0.0,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,3.0,0.0,44.0,0.0,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,4.0,0.0,8.0,0.0,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,1.0,0.0,24.0,0.0,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,2.0,-0.00024147727272727263,44.0,0.0016017790180693683,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,3.0,0.0,44.0,0.0,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,4.0,0.0,8.0,0.0,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,1.0,0.0073263888888889005,24.0,0.036514176808805254,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,2.0,-0.004474431818181819,44.0,0.06176777580792856,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,3.0,0.0008727904040404054,44.0,0.07428983176284513,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,4.0,-0.008220486111111116,8.0,0.0311269609901047,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,1.0,-0.024589120370370362,24.0,0.0941129401472757,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,2.0,0.007244318181818186,44.0,0.09035864964058657,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,3.0,-0.003357007575757573,44.0,0.09912286567234983,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,4.0,-0.029800347222222204,8.0,0.08179923438047927,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,1.0,-0.002673611111111108,24.0,0.09892364528912853,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,2.0,-0.003552714646464644,44.0,0.08439182800678605,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,3.0,-0.007627840909090921,44.0,0.09409497604418578,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,4.0,-0.03806423611111115,8.0,0.11683537521554913,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,1.0,0.0034924768518518625,24.0,0.04082729156458593,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,2.0,-0.0020265151515151615,44.0,0.05006363098834383,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
