source,cluster_id,disruption,peak_shared_response,peak_sweep,recovery_time_sweeps,energy_entropy_route_area,final_shared_response
Direct Qwen,V14Q_g0,field_reversal,4.789583999360224,1,1.0,0.8285817581202402,1.712111161495574
Direct Qwen,V14Q_g0,nominal,4.789583999360224,1,1.0,0.833001721434016,1.8478426643440904
Direct Qwen,V14Q_g1,field_reversal,7.604937241201326,1,1.0,0.8101175983541644,1.7119086092230398
Direct Qwen,V14Q_g1,nominal,7.604937241201326,1,1.0,0.7646639491161604,1.7119086092230398
Direct Qwen,V14Q_g2,field_reversal,4.806886552924255,16,1.0,0.7261340241189558,2.02180103434485
Direct Qwen,V14Q_g2,nominal,3.952895467689143,12,1.0,0.4670089261841319,1.7343829838481
Direct Qwen,V14Q_g3,field_reversal,2.798329029306847,1,1.0,0.6845850275979544,1.7951624327125195
Direct Qwen,V14Q_g3,nominal,2.798329029306847,1,1.0,0.6845850275979544,1.7951624327125195
Direct Qwen,V14Q_g4,field_reversal,4.595063326018183,1,1.0,0.5624026466107743,1.5788553506000251
Direct Qwen,V14Q_g4,nominal,4.595063326018183,1,1.0,0.5916501790445494,1.830511845427323
Direct Qwen,V14Q_g5,field_reversal,7.270045966852048,1,1.0,1.2879260962145445,1.504858645343192
Direct Qwen,V14Q_g5,nominal,7.270045966852048,1,1.0,1.3029213292352786,1.504858645343192
Kinetic surrogate,V14Q_g0,field_reversal,8.841446040124248,31,2.0,1.0723996410037664,1.1957782135089081
Kinetic surrogate,V14Q_g0,nominal,3.8190832010796374,2,1.0,0.7256458395468339,1.1957782135089081
Kinetic surrogate,V14Q_g1,field_reversal,9.82091262016013,16,2.0,1.82019192583925,1.778317567331369
Kinetic surrogate,V14Q_g1,nominal,8.63847219204897,1,1.0,0.664338652951848,1.778317567331369
Kinetic surrogate,V14Q_g2,field_reversal,7.204764512638471,31,2.0,1.9713006928904768,1.6177776743086192
Kinetic surrogate,V14Q_g2,nominal,4.90141787552009,1,1.0,0.9994741805698109,1.6177776743086192
Kinetic surrogate,V14Q_g3,field_reversal,7.11800305071579,16,1.0,1.8342160397759137,1.6101289034510937
Kinetic surrogate,V14Q_g3,nominal,6.822886420663307,1,1.0,1.011725450100439,1.6101289034510937
Kinetic surrogate,V14Q_g4,field_reversal,4.9137252641849605,1,1.0,1.2764456076505901,1.231523035817868
Kinetic surrogate,V14Q_g4,nominal,4.9137252641849605,1,1.0,0.8081451530049915,1.231523035817868
Kinetic surrogate,V14Q_g5,field_reversal,7.556582500309838,1,1.0,1.6931766287568806,1.1792025747187291
Kinetic surrogate,V14Q_g5,nominal,7.556582500309838,1,1.0,1.2876402605859507,1.1792025747187291
