model_key,condition,phase,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_markovized,baseline,binder_cumulant,0.3643715084958202,-0.00399900039524953,0.5951937652677781,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,binder_cumulant,0.530800638467528,0.45464269513875877,0.6093964456978241,6.0,6.0,0.0,10000.0
granite,field_markovized,recovery,binder_cumulant,0.4956574047524787,0.33417848997862487,0.601238414264309,6.0,6.0,0.0,10000.0
granite,field_persistent,baseline,binder_cumulant,0.5263793226190017,0.46400787173833136,0.5922771786313411,6.0,6.0,0.0,10000.0
granite,field_persistent,disruption,binder_cumulant,0.6477530601875309,0.6313919135277699,0.6574951136182908,6.0,6.0,0.0,10000.0
granite,field_persistent,recovery,binder_cumulant,0.6654335227791959,0.6634410695255382,0.6666666666666669,6.0,6.0,0.0,10000.0
granite,field_scrambled,baseline,binder_cumulant,0.3086246824444175,0.06634388663223673,0.5069260125434177,6.0,6.0,0.0,10000.0
granite,field_scrambled,disruption,binder_cumulant,0.6088276364366568,0.5908793785378468,0.6236955748191423,6.0,6.0,0.0,10000.0
granite,field_scrambled,recovery,binder_cumulant,0.6116698822661717,0.5901024710948883,0.632121976263852,6.0,6.0,0.0,10000.0
granite,nominal_markovized,baseline,binder_cumulant,0.3643715084958202,-0.008442504441066201,0.5914664233247874,6.0,6.0,0.0,10000.0
granite,nominal_markovized,disruption,binder_cumulant,0.5314241691625413,0.40469042467059424,0.6371062861602832,6.0,6.0,0.0,10000.0
granite,nominal_markovized,recovery,binder_cumulant,0.5752585614046515,0.4197988549446978,0.6617206667346812,6.0,6.0,0.0,10000.0
qwen,field_markovized,baseline,binder_cumulant,-0.7037871866934498,-1.6389247536201956,-0.09126417630441376,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,binder_cumulant,-5.508825697969641,-7.728831734967038,-3.3998577207282534,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,binder_cumulant,-4.699895855471671,-7.384914171849978,-2.555473171578384,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,binder_cumulant,-1.7968327543275804,-2.42233369945891,-1.0020861717032503,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,binder_cumulant,-9.091462314502454,-10.15138067061144,-8.266632382529666,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,binder_cumulant,-10.69104938271605,-11.595833333333333,-9.618981481481484,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,binder_cumulant,-1.8013668792493462,-2.8652553253237225,-0.8976003639807892,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,binder_cumulant,-4.0766569537869675,-5.909001670397463,-2.657414317206172,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,binder_cumulant,-6.886599203146017,-9.864836794478848,-4.141121620523969,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,binder_cumulant,-0.7037871866934498,-1.6388027561384815,-0.09485932164478095,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,disruption,binder_cumulant,-3.242424242424242,-5.666666666666666,-0.8181818181818183,2.0,6.0,4.0,10000.0
qwen,nominal_markovized,recovery,binder_cumulant,-3.3326095708213357,-5.226024955436721,-1.8916662004662004,5.0,6.0,1.0,10000.0
