phase,binder_cumulant,magnetization_second_moment,near_zero_denominator,phase_updates,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,0.05594891017631565,0.0095703125,False,240,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,,0.0,True,240,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,-7.0,0.0006510416666666666,False,240,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.05594891017631565,0.0095703125,False,240,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,-2.1039999999999996,0.006510416666666667,False,240,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,-10.875,0.0020833333333333333,False,240,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,-2.1999999999999997,0.0016276041666666667,False,240,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,-7.775510204081632,0.0036458333333333334,False,240,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,-8.362962962962964,0.0029296875,False,240,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,-0.4814814814814814,0.003515625,False,240,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,-4.1626666666666665,0.0048828125,False,240,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,-4.139833711262282,0.0041015625,False,240,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,-0.23482483524106823,0.012109375,False,240,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,-5.666666666666666,0.00078125,False,240,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,-2.076923076923077,0.0016927083333333334,False,240,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.23482483524106823,0.012109375,False,240,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,-9.370370370370368,0.00234375,False,240,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,-3.279835390946502,0.0017578125,False,240,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,-0.11412965769681715,0.012174479166666667,False,240,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
