episode_path,ledger_path,run_id,events,ledger_sha256_match,ledger_digest_match,metric_regeneration_match,privacy_failures,maximum_reconstructed_conservation_residual,finite_metrics,status,mismatch_reasons
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-always_on-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-always_on-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-always_on-agent_event_triggered,26528,True,True,True,0,4.263256414560601e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-event_triggered-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-event_triggered-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-event_triggered-agent_event_triggered,19278,True,True,True,0,4.263256414560601e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-none-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-none-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-none-agent_event_triggered,8791,True,True,True,0,4.263256414560601e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-periodic-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-periodic-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-periodic-agent_event_triggered,18124,True,True,True,0,4.263256414560601e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-always_on-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-always_on-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-always_on-agent_event_triggered,28520,True,True,True,0,5.684341886080802e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-event_triggered-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-event_triggered-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-event_triggered-agent_event_triggered,20519,True,True,True,0,5.684341886080802e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-none-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-none-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-none-agent_event_triggered,8807,True,True,True,0,5.684341886080802e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-periodic-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-periodic-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-periodic-agent_event_triggered,19571,True,True,True,0,5.684341886080802e-14,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-always_on-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-always_on-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-always_on-agent_event_triggered,77532,True,True,True,0,1.4210854715202004e-13,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-event_triggered-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-event_triggered-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-event_triggered-agent_event_triggered,51051,True,True,True,0,1.4210854715202004e-13,True,pass,
raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-none-agent_event_triggered/episode.json.gz,raw/development_formal_communication/v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-none-agent_event_triggered/events.jsonl.gz,v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-none-agent_event_triggered,8791,True,True,True,0,1.4210854715202004e-13,True,pass,
