stage,application,environment_seed,complexity,topology_family,coupling,fragmentation,network_disruption,evidence_class,rl_seed
pilots,humanitarian,880104,large,small_world,high,medium,high,development_only,
pilots,humanitarian,880102,medium,modular,high,high,high,development_only,
pilots,humanitarian,880103,medium,random_geometric,medium,high,medium,development_only,
pilots,humanitarian,880101,small,small_world,medium,low,medium,development_only,
pilots,utility_restoration,880154,large,small_world,high,medium,high,development_only,
pilots,utility_restoration,880152,medium,modular,high,high,high,development_only,
pilots,utility_restoration,880153,medium,scale_free,medium,high,medium,development_only,
pilots,utility_restoration,880151,small,grid,medium,low,medium,development_only,
pilots_v2,humanitarian,880204,large,small_world,high,medium,high,development_only,
pilots_v2,humanitarian,880202,medium,modular,high,high,high,development_only,
pilots_v2,humanitarian,880203,medium,random_geometric,medium,high,medium,development_only,
pilots_v2,humanitarian,880201,small,small_world,medium,low,medium,development_only,
pilots_v2,utility_restoration,880254,large,small_world,high,medium,high,development_only,
pilots_v2,utility_restoration,880252,medium,modular,high,high,high,development_only,
pilots_v2,utility_restoration,880253,medium,scale_free,medium,high,medium,development_only,
pilots_v2,utility_restoration,880251,small,grid,medium,low,medium,development_only,
pilots_v3,humanitarian,880304,large,modular,high,high,high,development_only,
pilots_v3,humanitarian,880302,medium,small_world,high,high,high,development_only,
pilots_v3,humanitarian,880303,medium,random_geometric,medium,high,medium,development_only,
pilots_v3,humanitarian,880301,small,modular,high,low,medium,development_only,
pilots_v3,utility_restoration,880354,large,small_world,high,high,high,development_only,
pilots_v3,utility_restoration,880352,medium,grid,high,high,high,development_only,
pilots_v3,utility_restoration,880353,medium,modular,medium,high,medium,development_only,
pilots_v3,utility_restoration,880351,small,scale_free,high,low,medium,development_only,
routing_repair_pilot,utility_restoration,8811019,large,grid,high,high,high,development_only,
routing_repair_pilot,utility_restoration,8811017,large,grid,low,low,low,development_only,
routing_repair_pilot,utility_restoration,8811021,large,grid,medium,high,medium,development_only,
routing_repair_pilot,utility_restoration,8811023,large,grid,medium,low,high,development_only,
hysteresis_repair_pilot,humanitarian,8812006,large,small_world,high,high,high,development_only,
hysteresis_repair_pilot,humanitarian,8812005,large,random_geometric,medium,medium,low,development_only,
hysteresis_repair_pilot,humanitarian,8812004,medium,small_world,high,medium,high,development_only,
hysteresis_repair_pilot,humanitarian,8812003,medium,random_geometric,medium,high,medium,development_only,
hysteresis_repair_pilot,humanitarian,8812002,small,small_world,high,high,high,development_only,
hysteresis_repair_pilot,humanitarian,8812001,small,random_geometric,low,low,low,development_only,
hysteresis_repair_pilot,utility_restoration,8812106,large,scale_free,high,high,high,development_only,
hysteresis_repair_pilot,utility_restoration,8812105,large,grid,medium,medium,low,development_only,
hysteresis_repair_pilot,utility_restoration,8812104,medium,scale_free,high,medium,high,development_only,
hysteresis_repair_pilot,utility_restoration,8812103,medium,grid,medium,high,medium,development_only,
hysteresis_repair_pilot,utility_restoration,8812102,small,scale_free,high,high,high,development_only,
hysteresis_repair_pilot,utility_restoration,8812101,small,grid,low,low,low,development_only,
hysteresis_repair_pilot_v2,humanitarian,8812206,large,small_world,high,high,high,development_only,
hysteresis_repair_pilot_v2,humanitarian,8812205,large,random_geometric,medium,medium,low,development_only,
hysteresis_repair_pilot_v2,humanitarian,8812204,medium,small_world,high,medium,high,development_only,
hysteresis_repair_pilot_v2,humanitarian,8812203,medium,random_geometric,medium,high,medium,development_only,
hysteresis_repair_pilot_v2,humanitarian,8812202,small,small_world,high,high,high,development_only,
hysteresis_repair_pilot_v2,humanitarian,8812201,small,random_geometric,low,low,low,development_only,
hysteresis_repair_pilot_v2,utility_restoration,8812306,large,scale_free,high,high,high,development_only,
hysteresis_repair_pilot_v2,utility_restoration,8812305,large,grid,medium,medium,low,development_only,
hysteresis_repair_pilot_v2,utility_restoration,8812304,medium,scale_free,high,medium,high,development_only,
hysteresis_repair_pilot_v2,utility_restoration,8812303,medium,grid,medium,high,medium,development_only,
hysteresis_repair_pilot_v2,utility_restoration,8812302,small,scale_free,high,high,high,development_only,
hysteresis_repair_pilot_v2,utility_restoration,8812301,small,grid,low,low,low,development_only,
hysteresis_repair_pilot_v3,humanitarian,8812406,large,small_world,high,high,high,development_only,
hysteresis_repair_pilot_v3,humanitarian,8812405,large,random_geometric,medium,medium,low,development_only,
hysteresis_repair_pilot_v3,humanitarian,8812404,medium,small_world,high,medium,high,development_only,
hysteresis_repair_pilot_v3,humanitarian,8812403,medium,random_geometric,medium,high,medium,development_only,
hysteresis_repair_pilot_v3,humanitarian,8812402,small,small_world,high,high,high,development_only,
hysteresis_repair_pilot_v3,humanitarian,8812401,small,random_geometric,low,low,low,development_only,
hysteresis_repair_pilot_v3,utility_restoration,8812506,large,scale_free,high,high,high,development_only,
hysteresis_repair_pilot_v3,utility_restoration,8812505,large,grid,medium,medium,low,development_only,
hysteresis_repair_pilot_v3,utility_restoration,8812504,medium,scale_free,high,medium,high,development_only,
hysteresis_repair_pilot_v3,utility_restoration,8812503,medium,grid,medium,high,medium,development_only,
hysteresis_repair_pilot_v3,utility_restoration,8812502,small,scale_free,high,high,high,development_only,
hysteresis_repair_pilot_v3,utility_restoration,8812501,small,grid,low,low,low,development_only,
development,humanitarian,8810019,large,random_geometric,high,high,high,development_only,
development,humanitarian,8810024,large,small_world,high,high,medium,development_only,
development,humanitarian,8810020,large,small_world,high,medium,low,development_only,
development,humanitarian,8810017,large,random_geometric,low,low,low,development_only,
development,humanitarian,8810022,large,small_world,low,medium,high,development_only,
development,humanitarian,8810021,large,random_geometric,medium,high,medium,development_only,
development,humanitarian,8810023,large,random_geometric,medium,low,high,development_only,
development,humanitarian,8810018,large,small_world,medium,medium,medium,development_only,
development,humanitarian,8810011,medium,small_world,high,high,high,development_only,
development,humanitarian,8810016,medium,random_geometric,high,high,medium,development_only,
development,humanitarian,8810012,medium,random_geometric,high,medium,low,development_only,
development,humanitarian,8810009,medium,small_world,low,low,low,development_only,
development,humanitarian,8810014,medium,random_geometric,low,medium,high,development_only,
development,humanitarian,8810013,medium,small_world,medium,high,medium,development_only,
development,humanitarian,8810015,medium,small_world,medium,low,high,development_only,
development,humanitarian,8810010,medium,random_geometric,medium,medium,medium,development_only,
development,humanitarian,8810003,small,random_geometric,high,high,high,development_only,
development,humanitarian,8810008,small,small_world,high,high,medium,development_only,
development,humanitarian,8810004,small,small_world,high,medium,low,development_only,
development,humanitarian,8810001,small,random_geometric,low,low,low,development_only,
development,humanitarian,8810006,small,small_world,low,medium,high,development_only,
development,humanitarian,8810005,small,random_geometric,medium,high,medium,development_only,
development,humanitarian,8810007,small,random_geometric,medium,low,high,development_only,
development,humanitarian,8810002,small,small_world,medium,medium,medium,development_only,
development,utility_restoration,8811019,large,grid,high,high,high,development_only,
development,utility_restoration,8811024,large,scale_free,high,high,medium,development_only,
development,utility_restoration,8811020,large,scale_free,high,medium,low,development_only,
development,utility_restoration,8811017,large,grid,low,low,low,development_only,
development,utility_restoration,8811022,large,scale_free,low,medium,high,development_only,
development,utility_restoration,8811021,large,grid,medium,high,medium,development_only,
development,utility_restoration,8811023,large,grid,medium,low,high,development_only,
development,utility_restoration,8811018,large,scale_free,medium,medium,medium,development_only,
development,utility_restoration,8811011,medium,scale_free,high,high,high,development_only,
development,utility_restoration,8811016,medium,grid,high,high,medium,development_only,
development,utility_restoration,8811012,medium,grid,high,medium,low,development_only,
development,utility_restoration,8811009,medium,scale_free,low,low,low,development_only,
development,utility_restoration,8811014,medium,grid,low,medium,high,development_only,
development,utility_restoration,8811013,medium,scale_free,medium,high,medium,development_only,
development,utility_restoration,8811015,medium,scale_free,medium,low,high,development_only,
development,utility_restoration,8811010,medium,grid,medium,medium,medium,development_only,
development,utility_restoration,8811003,small,grid,high,high,high,development_only,
development,utility_restoration,8811008,small,scale_free,high,high,medium,development_only,
development,utility_restoration,8811004,small,scale_free,high,medium,low,development_only,
development,utility_restoration,8811001,small,grid,low,low,low,development_only,
development,utility_restoration,8811006,small,scale_free,low,medium,high,development_only,
development,utility_restoration,8811005,small,grid,medium,high,medium,development_only,
development,utility_restoration,8811007,small,grid,medium,low,high,development_only,
development,utility_restoration,8811002,small,scale_free,medium,medium,medium,development_only,
sequential_rl_engineering_pilot,both,see training curve,,,,,,engineering_only_not_multiseed,88101
