model_key,cluster_id,condition,sweep,phase,macrostate_distance,reference_energy_per_agent,configuration_entropy
qwen,V15Q_g0,nominal_markovized,1,baseline,8.135918393442036,-0.9270833333333334,1.3917397695183338
qwen,V15Q_g0,nominal_markovized,2,baseline,5.315933611313345,-1.0729166666666667,1.8391450909533809
qwen,V15Q_g0,nominal_markovized,3,baseline,4.093010979038838,-1.3395833333333331,1.904474353062154
qwen,V15Q_g0,nominal_markovized,4,baseline,4.253152946975355,-1.5333333333333334,1.990690909415424
qwen,V15Q_g0,nominal_markovized,5,baseline,4.386479937687338,-1.5333333333333334,1.948875625143216
qwen,V15Q_g0,nominal_markovized,6,baseline,3.839458910202984,-1.5333333333333334,1.3715117005059487
qwen,V15Q_g0,nominal_markovized,7,baseline,5.827945460588667,-1.6875,1.3376507053282136
qwen,V15Q_g0,nominal_markovized,8,baseline,3.0054865903716914,-1.8,1.3269595275185928
qwen,V15Q_g0,nominal_markovized,9,baseline,3.6169529207715647,-1.74375,1.40345874035462
qwen,V15Q_g0,nominal_markovized,10,baseline,3.244182367726117,-1.8,1.5282887756557657
qwen,V15Q_g0,nominal_markovized,11,baseline,3.366535098017573,-1.8,1.412166873465264
qwen,V15Q_g0,nominal_markovized,12,baseline,2.531038705726043,-1.8,0.9672604429127744
qwen,V15Q_g0,nominal_markovized,13,baseline,1.6964564766274892,-1.8,0.6108643020548935
qwen,V15Q_g0,nominal_markovized,14,baseline,1.553815161766488,-1.8,0.482577565177012
qwen,V15Q_g0,nominal_markovized,15,baseline,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,16,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,17,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,18,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,19,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,20,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,21,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,22,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,23,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,24,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,25,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,26,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,27,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,28,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,29,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,30,disruption,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,31,recovery,2.855939804401591,-1.74375,0.3767701612564367
qwen,V15Q_g0,nominal_markovized,32,recovery,1.4297060449841892,-1.8,0.3767701612564367
qwen,V15Q_g0,nominal_markovized,33,recovery,1.4381069210214,-1.8,0.3767701612564367
qwen,V15Q_g0,nominal_markovized,34,recovery,1.4241667411727257,-1.8,0.3767701612564367
qwen,V15Q_g0,nominal_markovized,35,recovery,1.4345371846324757,-1.8,0.3767701612564367
qwen,V15Q_g0,nominal_markovized,36,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,37,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,38,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,39,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,40,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,41,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,42,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,43,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,44,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,nominal_markovized,45,recovery,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,field_markovized,1,baseline,8.123449806825846,-0.9270833333333334,1.3917397695183338
qwen,V15Q_g0,field_markovized,2,baseline,5.320838480218459,-1.0729166666666667,1.8391450909533809
qwen,V15Q_g0,field_markovized,3,baseline,4.125144646160307,-1.3395833333333331,1.904474353062154
qwen,V15Q_g0,field_markovized,4,baseline,4.29462952603239,-1.5333333333333334,1.990690909415424
qwen,V15Q_g0,field_markovized,5,baseline,4.412495805396685,-1.5333333333333334,1.948875625143216
qwen,V15Q_g0,field_markovized,6,baseline,3.839216234566897,-1.5333333333333334,1.3715117005059487
qwen,V15Q_g0,field_markovized,7,baseline,5.831114430362609,-1.6875,1.3376507053282136
qwen,V15Q_g0,field_markovized,8,baseline,2.9806290979338765,-1.8,1.3269595275185928
qwen,V15Q_g0,field_markovized,9,baseline,3.610823702302072,-1.74375,1.40345874035462
qwen,V15Q_g0,field_markovized,10,baseline,3.251195851050193,-1.8,1.5282887756557657
qwen,V15Q_g0,field_markovized,11,baseline,3.309953343511112,-1.8,1.412166873465264
qwen,V15Q_g0,field_markovized,12,baseline,2.535071804011093,-1.8,0.9672604429127744
qwen,V15Q_g0,field_markovized,13,baseline,1.6896786891476367,-1.8,0.6108643020548935
qwen,V15Q_g0,field_markovized,14,baseline,1.5514660609441004,-1.8,0.482577565177012
qwen,V15Q_g0,field_markovized,15,baseline,1.6950526312503027,-1.8,-0.0
qwen,V15Q_g0,field_markovized,16,disruption,42.959285746252114,-1.8,0.908232792988082
qwen,V15Q_g0,field_markovized,17,disruption,97.17823346605532,-1.8,0.908232792988082
qwen,V15Q_g0,field_markovized,18,disruption,102.90412733974658,-1.74375,0.9730082983696776
qwen,V15Q_g0,field_markovized,19,disruption,89.30095176072648,-1.8,1.2993977262607976
