n_agents,disruption,sweep,phase,belief_magnetization_mean,belief_magnetization_sd,action_magnetization_mean,reference_energy_mean,configuration_entropy_mean,susceptibility_mean
8,field_reversal,1,baseline,-0.0234375,0.1835950905064308,-0.0859375,-1.1194010416666669,1.5104320555282311,0.1213727678571428
8,field_reversal,2,baseline,0.0,0.1555427542095638,0.0,-1.5028645833333334,1.7088824731438574,0.1375
8,field_reversal,3,baseline,0.0078125,0.0441941738241592,0.03125,-1.6190104166666668,1.6758395984496413,0.1332937047101449
8,field_reversal,4,baseline,0.0,0.0,0.015625,-1.6380208333333337,1.5749856890982266,0.1146358366935483
8,field_reversal,5,baseline,0.0,0.0,0.0,-1.65390625,1.4344587383430922,0.0983774038461538
8,field_reversal,6,baseline,0.0,0.0,0.0,-1.65390625,0.7848286665455753,0.0579427083333333
8,field_reversal,7,baseline,0.0,0.0,0.0,-1.65390625,0.3277963142036686,0.018770032051282
8,field_reversal,8,baseline,0.0,0.0,0.0,-1.65390625,0.078163940536764,0.0017528044871794
8,field_reversal,9,baseline,0.0,0.0,0.0,-1.65390625,0.0154274065748114,0.0
8,field_reversal,10,baseline,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,11,baseline,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,12,baseline,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,13,baseline,0.0,0.0,-0.0078125,-1.6493489583333334,0.0101588429184827,0.0
8,field_reversal,14,baseline,0.0,0.0,0.0,-1.65390625,0.0132096589939372,0.0
8,field_reversal,15,baseline,0.0,0.0,0.0,-1.65390625,0.0132096589939372,0.0
8,field_reversal,16,disruption,-0.0078125,0.0441941738241592,-0.0234375,-1.359765625,0.9272721285339556,0.1381009615384615
8,field_reversal,17,disruption,0.0,0.0,0.0078125,-1.5845052083333333,1.4377353479097768,0.1395432692307692
8,field_reversal,18,disruption,0.0,0.0,-0.0078125,-1.652734375,1.6803102755485693,0.1395432692307692
8,field_reversal,19,disruption,0.0,0.0,0.0,-1.65390625,1.6739616573503429,0.1395432692307692
8,field_reversal,20,disruption,0.0,0.0,0.0,-1.65390625,1.2940858349666104,0.1395432692307692
8,field_reversal,21,disruption,0.0,0.0,0.0,-1.65390625,0.4861862051324916,0.0014423076923076
8,field_reversal,22,disruption,0.0,0.0,0.0,-1.65390625,0.133471614871896,0.0
8,field_reversal,23,disruption,0.0,0.0,0.0,-1.65390625,0.0144914512443565,0.0
8,field_reversal,24,disruption,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,25,disruption,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,26,disruption,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,27,disruption,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,28,disruption,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,29,disruption,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,30,disruption,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,31,recovery,-0.0078125,0.0441941738241592,-0.0703125,-1.300390625,0.9152076894045302,0.1653745993589743
8,field_reversal,32,recovery,0.0,0.0,0.0078125,-1.573046875,1.4589692623640778,0.1665464743589743
8,field_reversal,33,recovery,0.0,0.0,0.0,-1.65390625,1.7567967954129575,0.1665464743589743
8,field_reversal,34,recovery,0.0,0.0,0.0,-1.65390625,1.766014336420126,0.1665464743589743
8,field_reversal,35,recovery,0.0,0.0,0.0,-1.65390625,1.384382254577525,0.1665464743589743
8,field_reversal,36,recovery,0.0,0.0,0.0,-1.65390625,0.5670898765135959,0.0011117788461538
8,field_reversal,37,recovery,0.0,0.0,0.0,-1.65390625,0.134175454934014,0.0
8,field_reversal,38,recovery,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,39,recovery,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,40,recovery,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,41,recovery,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,42,recovery,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,43,recovery,0.0,0.0,0.0,-1.65390625,0.0,0.0
8,field_reversal,44,recovery,0.0,0.0,0.0,-1.65390625,0.0,0.0
