model_key,condition,phase,lag_updates,lag_sweeps,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates,source_type,lag_truncation_sweeps,lag_truncation_updates,is_primary,lag_estimable,integrated_autocorrelation_time_updates,cluster_id,panel_id,memory_mode,n_agents,binder_cumulant,magnetization_second_moment,near_zero_denominator,phase_updates,temporal_window,magnetization_fourth_moment,window_updates,pooling_rule,valid_bootstrap_replicates,belief_magnetization
granite,field_markovized,recovery,18.0,1.125,autocorrelation,0.5364292006212533,0.2846273601538822,0.7396502711711662,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,19.0,1.1875,autocorrelation,0.5139461377752775,0.252501108461915,0.7354281118239169,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,20.0,1.25,autocorrelation,0.4900557926573292,0.2087506870785723,0.7263770906462499,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,21.0,1.3125,autocorrelation,0.4670768822611537,0.1751696434924409,0.7149374867515167,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,22.0,1.375,autocorrelation,0.4432180666743585,0.1295932157367596,0.7028097910968135,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,23.0,1.4375,autocorrelation,0.4232644521718571,0.115012740108302,0.6930486175912577,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,24.0,1.5,autocorrelation,0.4045003095616569,0.0721331206790548,0.6813203666647789,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,25.0,1.5625,autocorrelation,0.3850822879422433,0.0421747505946627,0.6689759849022073,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,26.0,1.625,autocorrelation,0.3627941033889807,0.0038536493351665,0.6534431461842346,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,27.0,1.6875,autocorrelation,0.3419743657825931,-0.0256662310694596,0.6407164845767767,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,28.0,1.75,autocorrelation,0.3254066943489512,-0.0313127532261951,0.6295009064043392,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,29.0,1.8125,autocorrelation,0.3101301789452623,-0.0573154245477191,0.6156056975004054,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,30.0,1.875,autocorrelation,0.295698277639052,-0.0691027570577125,0.5993627273361242,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,31.0,1.9375,autocorrelation,0.2841271048375733,-0.0804956484377221,0.5865473989758906,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_markovized,recovery,32.0,2.0,autocorrelation,0.2750302029595151,-0.0827871932015497,0.5765183806078923,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,0.0,0.0,autocorrelation,1.0,1.0,1.0,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
