cluster_id,sweep,phase,macrostate_distance,training_nominal_threshold_95
V14Q_g0,1,baseline,7.851524119130199,5.7488559988786
V14Q_g0,2,baseline,7.982955450224765,5.7488559988786
V14Q_g0,3,baseline,6.460332718996906,5.7488559988786
V14Q_g0,4,baseline,5.655853273251456,5.7488559988786
V14Q_g0,5,baseline,4.711957249254412,5.7488559988786
V14Q_g0,6,baseline,3.766747576331797,5.7488559988786
V14Q_g0,7,baseline,2.58321688959467,5.7488559988786
V14Q_g0,8,baseline,1.700121616775315,5.7488559988786
V14Q_g0,9,baseline,1.3298085818558218,5.7488559988786
V14Q_g0,10,baseline,1.47294826499023,5.7488559988786
V14Q_g0,11,baseline,1.47294826499023,5.7488559988786
V14Q_g0,12,baseline,1.47294826499023,5.7488559988786
V14Q_g0,13,baseline,1.47294826499023,5.7488559988786
V14Q_g0,14,baseline,1.47294826499023,5.7488559988786
V14Q_g0,15,baseline,1.47294826499023,5.7488559988786
V14Q_g0,16,disruption,34.497590416021275,5.7488559988786
V14Q_g0,17,disruption,94.35556036691648,5.7488559988786
V14Q_g0,18,disruption,111.23173812064744,5.7488559988786
V14Q_g0,19,disruption,92.04883616380788,5.7488559988786
V14Q_g0,20,disruption,28.73892332155797,5.7488559988786
V14Q_g0,21,disruption,1.47294826499023,5.7488559988786
V14Q_g0,22,disruption,1.47294826499023,5.7488559988786
V14Q_g0,23,disruption,1.47294826499023,5.7488559988786
V14Q_g0,24,disruption,1.47294826499023,5.7488559988786
V14Q_g0,25,disruption,1.47294826499023,5.7488559988786
V14Q_g0,26,disruption,1.47294826499023,5.7488559988786
V14Q_g0,27,disruption,1.47294826499023,5.7488559988786
V14Q_g0,28,disruption,3.1340157000222044,5.7488559988786
V14Q_g0,29,disruption,1.3930150557908534,5.7488559988786
V14Q_g0,30,disruption,1.3930150557908532,5.7488559988786
V14Q_g0,31,recovery,30.846302301559405,5.7488559988786
V14Q_g0,32,recovery,87.4423387131904,5.7488559988786
V14Q_g0,33,recovery,103.07414579118893,5.7488559988786
V14Q_g0,34,recovery,91.1712162827042,5.7488559988786
V14Q_g0,35,recovery,28.18828216921865,5.7488559988786
V14Q_g0,36,recovery,1.47294826499023,5.7488559988786
V14Q_g0,37,recovery,1.47294826499023,5.7488559988786
V14Q_g0,38,recovery,1.47294826499023,5.7488559988786
V14Q_g0,39,recovery,3.818048899673052,5.7488559988786
V14Q_g0,40,recovery,1.3548284436275873,5.7488559988786
V14Q_g0,41,recovery,1.3548284436275873,5.7488559988786
V14Q_g0,42,recovery,1.3548284436275877,5.7488559988786
V14Q_g0,43,recovery,1.3548284436275873,5.7488559988786
V14Q_g0,44,recovery,1.47294826499023,5.7488559988786
V14Q_g0,45,recovery,1.47294826499023,5.7488559988786
V14Q_g1,1,baseline,22.878661749881942,6.254243934364358
V14Q_g1,2,baseline,12.414262778453244,6.254243934364358
V14Q_g1,3,baseline,8.339068327613766,6.254243934364358
V14Q_g1,4,baseline,7.2811344882266384,6.254243934364358
V14Q_g1,5,baseline,6.829270007783726,6.254243934364358
V14Q_g1,6,baseline,6.339946920593973,6.254243934364358
V14Q_g1,7,baseline,3.378041926138849,6.254243934364358
V14Q_g1,8,baseline,1.8254307844719015,6.254243934364358
V14Q_g1,9,baseline,4.261697143561941,6.254243934364358
V14Q_g1,10,baseline,2.9814940732137662,6.254243934364358
V14Q_g1,11,baseline,2.613444516729502,6.254243934364358
V14Q_g1,12,baseline,1.7014374688747729,6.254243934364358
V14Q_g1,13,baseline,1.284328441779546,6.254243934364358
V14Q_g1,14,baseline,1.465883021886457,6.254243934364358
V14Q_g1,15,baseline,1.465883021886457,6.254243934364358
V14Q_g1,16,disruption,34.171510142059184,6.254243934364358
V14Q_g1,17,disruption,95.20220896147585,6.254243934364358
V14Q_g1,18,disruption,112.4408851221852,6.254243934364358
V14Q_g1,19,disruption,92.84359438070582,6.254243934364358
V14Q_g1,20,disruption,28.320033069366172,6.254243934364358
V14Q_g1,21,disruption,1.465883021886457,6.254243934364358
V14Q_g1,22,disruption,1.465883021886457,6.254243934364358
V14Q_g1,23,disruption,1.465883021886457,6.254243934364358
V14Q_g1,24,disruption,1.465883021886457,6.254243934364358
V14Q_g1,25,disruption,1.465883021886457,6.254243934364358
V14Q_g1,26,disruption,1.465883021886457,6.254243934364358
V14Q_g1,27,disruption,1.465883021886457,6.254243934364358
V14Q_g1,28,disruption,1.465883021886457,6.254243934364358
V14Q_g1,29,disruption,1.465883021886457,6.254243934364358
V14Q_g1,30,disruption,1.465883021886457,6.254243934364358
V14Q_g1,31,recovery,34.74335958642644,6.254243934364358
V14Q_g1,32,recovery,95.5804637269298,6.254243934364358
V14Q_g1,33,recovery,112.7828491088068,6.254243934364358
V14Q_g1,34,recovery,93.2201598762627,6.254243934364358
V14Q_g1,35,recovery,26.557509224958068,6.254243934364358
V14Q_g1,36,recovery,1.2905676732543976,6.254243934364358
V14Q_g1,37,recovery,1.2905676732543976,6.254243934364358
V14Q_g1,38,recovery,1.2905676732543976,6.254243934364358
V14Q_g1,39,recovery,1.2905676732543976,6.254243934364358
V14Q_g1,40,recovery,1.3994679425249352,6.254243934364358
V14Q_g1,41,recovery,1.465883021886457,6.254243934364358
V14Q_g1,42,recovery,1.465883021886457,6.254243934364358
V14Q_g1,43,recovery,1.465883021886457,6.254243934364358
V14Q_g1,44,recovery,1.465883021886457,6.254243934364358
V14Q_g1,45,recovery,1.465883021886457,6.254243934364358
V14Q_g2,1,baseline,6.345417362188615,6.33188832312639
V14Q_g2,2,baseline,5.840168932777201,6.33188832312639
V14Q_g2,3,baseline,6.013717650047068,6.33188832312639
V14Q_g2,4,baseline,5.034412200517929,6.33188832312639
V14Q_g2,5,baseline,3.5912276883764864,6.33188832312639
V14Q_g2,6,baseline,4.195138048606196,6.33188832312639
V14Q_g2,7,baseline,3.258881729618267,6.33188832312639
V14Q_g2,8,baseline,3.997181017809393,6.33188832312639
V14Q_g2,9,baseline,3.633447651946192,6.33188832312639
V14Q_g2,10,baseline,2.356340431023862,6.33188832312639
V14Q_g2,11,baseline,4.695781666175991,6.33188832312639
V14Q_g2,12,baseline,6.771268263314761,6.33188832312639
V14Q_g2,13,baseline,6.16409352579104,6.33188832312639
V14Q_g2,14,baseline,3.948911038254818,6.33188832312639
V14Q_g2,15,baseline,3.261953259976883,6.33188832312639
V14Q_g2,16,disruption,26.164986328388355,6.33188832312639
V14Q_g2,17,disruption,76.33552789658162,6.33188832312639
V14Q_g2,18,disruption,101.8930324327036,6.33188832312639
V14Q_g2,19,disruption,84.78891867702028,6.33188832312639
V14Q_g2,20,disruption,24.67874706923828,6.33188832312639
V14Q_g2,21,disruption,1.992902515743589,6.33188832312639
V14Q_g2,22,disruption,1.989690246200112,6.33188832312639
V14Q_g2,23,disruption,1.989690246200112,6.33188832312639
V14Q_g2,24,disruption,1.989690246200112,6.33188832312639
V14Q_g2,25,disruption,1.989690246200112,6.33188832312639
V14Q_g2,26,disruption,1.989690246200112,6.33188832312639
V14Q_g2,27,disruption,1.989690246200112,6.33188832312639
V14Q_g2,28,disruption,1.989690246200112,6.33188832312639
V14Q_g2,29,disruption,1.989690246200112,6.33188832312639
V14Q_g2,30,disruption,1.989690246200112,6.33188832312639
V14Q_g2,31,recovery,35.61375864412411,6.33188832312639
V14Q_g2,32,recovery,96.02120173820944,6.33188832312639
V14Q_g2,33,recovery,113.05226001318532,6.33188832312639
V14Q_g2,34,recovery,86.96139849921845,6.33188832312639
V14Q_g2,35,recovery,27.38860728269268,6.33188832312639
V14Q_g2,36,recovery,2.165459675865414,6.33188832312639
V14Q_g2,37,recovery,2.165459675865414,6.33188832312639
V14Q_g2,38,recovery,2.165459675865414,6.33188832312639
V14Q_g2,39,recovery,1.9744112351696224,6.33188832312639
V14Q_g2,40,recovery,1.989690246200112,6.33188832312639
V14Q_g2,41,recovery,1.989690246200112,6.33188832312639
V14Q_g2,42,recovery,1.989690246200112,6.33188832312639
V14Q_g2,43,recovery,1.989690246200112,6.33188832312639
V14Q_g2,44,recovery,1.989690246200112,6.33188832312639
V14Q_g2,45,recovery,1.989690246200112,6.33188832312639
V14Q_g3,1,baseline,6.281700817094395,6.409750119008652
V14Q_g3,2,baseline,5.310958535695442,6.409750119008652
