model_key,cluster_id,persistent_minus_markovized,persistent_minus_scrambled
granite,V15G_g0,0.09101994850741309,0.1191741064376587
granite,V15G_g1,0.018263618498690792,0.07308908641575151
granite,V15G_g2,0.11382834303635289,0.11570750352095699
granite,V15G_g3,0.0833818529226014,0.1076046998864255
granite,V15G_g4,0.10632734900392479,0.09115400512842581
granite,V15G_g5,0.057249221828710006,0.033328974205377615
qwen,V15Q_g0,0.0536012835171426,0.0223431651051469
qwen,V15Q_g1,-0.0002479185099344,-0.0248283041022321
qwen,V15Q_g2,0.043712055245201296,-0.0065053019943068
qwen,V15Q_g3,0.0105539418825047,0.010280153358264
qwen,V15Q_g4,0.02120941756019,0.0205148431346883
qwen,V15Q_g5,0.0536521903955864,0.019529697136182002
