run_id,application,scenario,method,environment_seed,rl_training_seed,disruption_step,first_activation_step,first_post_disruption_activation_step,pre_disruption_false_activation,activation_before_collapse,activation_delay_from_disruption,first_deactivation_step,service_collapse_step,severe_service_loss_threshold,severe_service_loss_persistence,severe_collapse_observed,nominal_false_activation,trigger_activations,maximum_trigger_residual,minimum_standardized_entropy_residual,maximum_standardized_entropy_residual,quiet_mode_fraction,targeted_mode_fraction,crisis_mode_fraction,mean_consensus_rmse,entropy_alert_messages,offer_messages,counteroffer_messages,coalition_messages,affected_agents,contacted_agents_after_activation,affected_contact_precision,affected_contact_recall,top3_local_surprisal_contact_rate,useful_coalition_precision,coalition_recall_when_required,agreement_rate,counteroffers,commitment_breaches
holdout_locked-commercial-doet_rule-n10-s8201-nominal,commercial,nominal,doet_rule,8201,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1214939823520398,3.0489334861091537,1.0,0.0,0.0,0.0736204533746948,0,0,0,53,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8202-nominal,commercial,nominal,doet_rule,8202,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,53,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8203-nominal,commercial,nominal,doet_rule,8203,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,56,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8204-nominal,commercial,nominal,doet_rule,8204,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,45,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8205-nominal,commercial,nominal,doet_rule,8205,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,52,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8206-nominal,commercial,nominal,doet_rule,8206,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1214939823520398,3.0489334861091537,1.0,0.0,0.0,0.0736204533746948,0,0,0,46,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8207-nominal,commercial,nominal,doet_rule,8207,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,68,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8208-nominal,commercial,nominal,doet_rule,8208,0,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,40,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,doet_rl,8201,7301,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1214939823520398,3.0489334861091537,1.0,0.0,0.0,0.0736204533746948,0,0,0,21,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,doet_rl,8202,7302,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,23,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,doet_rl,8203,7303,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,21,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,doet_rl,8204,7304,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,22,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,doet_rl,8205,7305,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,11,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,doet_rl,8206,7301,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1214939823520398,3.0489334861091537,1.0,0.0,0.0,0.0736204533746948,0,0,0,16,,,0.0,0.0,0.0,0.0,,0.0,0,0
