run_id,application,scenario_name,seed,n_agents,method,rl_training_seed,option,option_name,option_count,decision_count,option_proportion
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,4,respond_offer,44,135,0.32592592592592595
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,5,propose_coalition,19,135,0.14074074074074075
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,6,request_reallocation,35,135,0.25925925925925924
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,7,emergency,8,135,0.05925925925925926
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,8,silent,3,135,0.022222222222222223
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,0,continue,2,119,0.01680672268907563
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,1,request_info,3,119,0.025210084033613446
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,2,disclose_summary,0,119,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,3,negotiate,30,119,0.25210084033613445
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,4,respond_offer,19,119,0.15966386554621848
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,5,propose_coalition,13,119,0.1092436974789916
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,6,request_reallocation,45,119,0.37815126050420167
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,7,emergency,5,119,0.04201680672268908
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,8,silent,2,119,0.01680672268907563
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,0,continue,4,132,0.030303030303030304
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,1,request_info,2,132,0.015151515151515152
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,2,disclose_summary,0,132,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,3,negotiate,27,132,0.20454545454545456
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,4,respond_offer,45,132,0.3409090909090909
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,5,propose_coalition,17,132,0.12878787878787878
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,6,request_reallocation,31,132,0.23484848484848486
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,7,emergency,5,132,0.03787878787878788
holdout_locked-commercial-learned_no_entropy-n10-s8207-nominal-r7302,commercial,nominal,8207,10,learned_no_entropy,7302,8,silent,1,132,0.007575757575757576
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,0,continue,5,110,0.045454545454545456
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,1,request_info,2,110,0.01818181818181818
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,2,disclose_summary,0,110,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,3,negotiate,22,110,0.2
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,4,respond_offer,32,110,0.2909090909090909
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,5,propose_coalition,18,110,0.16363636363636364
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,6,request_reallocation,18,110,0.16363636363636364
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,7,emergency,9,110,0.08181818181818182
holdout_locked-commercial-learned_no_entropy-n10-s8208-nominal-r7303,commercial,nominal,8208,10,learned_no_entropy,7303,8,silent,4,110,0.03636363636363636
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,0,continue,20,47,0.425531914893617
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,1,request_info,0,47,0.0
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,2,disclose_summary,0,47,0.0
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,3,negotiate,0,47,0.0
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,4,respond_offer,0,47,0.0
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,5,propose_coalition,9,47,0.19148936170212766
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,6,request_reallocation,14,47,0.2978723404255319
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,7,emergency,4,47,0.0851063829787234
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,8201,10,doet_rl,7301,8,silent,0,47,0.0
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,0,continue,22,52,0.4230769230769231
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,1,request_info,0,52,0.0
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,2,disclose_summary,0,52,0.0
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,3,negotiate,0,52,0.0
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,4,respond_offer,0,52,0.0
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,5,propose_coalition,9,52,0.17307692307692307
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,6,request_reallocation,18,52,0.34615384615384615
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,7,emergency,3,52,0.057692307692307696
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,8202,10,doet_rl,7302,8,silent,0,52,0.0
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,0,continue,20,42,0.47619047619047616
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,1,request_info,0,42,0.0
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,2,disclose_summary,0,42,0.0
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,3,negotiate,0,42,0.0
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,4,respond_offer,0,42,0.0
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,5,propose_coalition,7,42,0.16666666666666666
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,6,request_reallocation,10,42,0.23809523809523808
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,7,emergency,5,42,0.11904761904761904
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,8203,10,doet_rl,7303,8,silent,0,42,0.0
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,0,continue,21,49,0.42857142857142855
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,1,request_info,0,49,0.0
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,2,disclose_summary,0,49,0.0
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,3,negotiate,0,49,0.0
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,4,respond_offer,0,49,0.0
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,5,propose_coalition,8,49,0.16326530612244897
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,6,request_reallocation,17,49,0.3469387755102041
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,7,emergency,3,49,0.061224489795918366
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,8204,10,doet_rl,7304,8,silent,0,49,0.0
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,0,continue,21,35,0.6
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,1,request_info,0,35,0.0
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,2,disclose_summary,0,35,0.0
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,3,negotiate,0,35,0.0
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,4,respond_offer,0,35,0.0
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,5,propose_coalition,4,35,0.11428571428571428
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,6,request_reallocation,3,35,0.08571428571428572
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,7,emergency,3,35,0.08571428571428572
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,8205,10,doet_rl,7305,8,silent,4,35,0.11428571428571428
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,8206,10,doet_rl,7301,0,continue,20,39,0.5128205128205128
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,8206,10,doet_rl,7301,1,request_info,0,39,0.0
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,8206,10,doet_rl,7301,2,disclose_summary,0,39,0.0
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,8206,10,doet_rl,7301,3,negotiate,0,39,0.0
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,8206,10,doet_rl,7301,4,respond_offer,0,39,0.0
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,8206,10,doet_rl,7301,5,propose_coalition,6,39,0.15384615384615385
