run_id,application,scenario,method,message_type,count
holdout_locked-commercial-doet_rule-n10-s8201-nominal,commercial,nominal,doet_rule,coalition_joined,23
holdout_locked-commercial-doet_rule-n10-s8201-nominal,commercial,nominal,doet_rule,coalition_proposal,30
holdout_locked-commercial-doet_rule-n10-s8201-nominal,commercial,nominal,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8202-nominal,commercial,nominal,doet_rule,coalition_joined,23
holdout_locked-commercial-doet_rule-n10-s8202-nominal,commercial,nominal,doet_rule,coalition_proposal,30
holdout_locked-commercial-doet_rule-n10-s8202-nominal,commercial,nominal,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8203-nominal,commercial,nominal,doet_rule,coalition_joined,26
holdout_locked-commercial-doet_rule-n10-s8203-nominal,commercial,nominal,doet_rule,coalition_proposal,30
holdout_locked-commercial-doet_rule-n10-s8203-nominal,commercial,nominal,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8203-nominal,commercial,nominal,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8204-nominal,commercial,nominal,doet_rule,coalition_joined,20
holdout_locked-commercial-doet_rule-n10-s8204-nominal,commercial,nominal,doet_rule,coalition_proposal,25
holdout_locked-commercial-doet_rule-n10-s8204-nominal,commercial,nominal,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8204-nominal,commercial,nominal,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8205-nominal,commercial,nominal,doet_rule,coalition_joined,23
holdout_locked-commercial-doet_rule-n10-s8205-nominal,commercial,nominal,doet_rule,coalition_proposal,29
holdout_locked-commercial-doet_rule-n10-s8205-nominal,commercial,nominal,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8206-nominal,commercial,nominal,doet_rule,coalition_joined,20
holdout_locked-commercial-doet_rule-n10-s8206-nominal,commercial,nominal,doet_rule,coalition_proposal,26
holdout_locked-commercial-doet_rule-n10-s8206-nominal,commercial,nominal,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8207-nominal,commercial,nominal,doet_rule,coalition_joined,30
holdout_locked-commercial-doet_rule-n10-s8207-nominal,commercial,nominal,doet_rule,coalition_proposal,38
holdout_locked-commercial-doet_rule-n10-s8207-nominal,commercial,nominal,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8208-nominal,commercial,nominal,doet_rule,coalition_joined,18
holdout_locked-commercial-doet_rule-n10-s8208-nominal,commercial,nominal,doet_rule,coalition_proposal,22
holdout_locked-commercial-doet_rule-n10-s8208-nominal,commercial,nominal,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,doet_rl,coalition_joined,9
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,doet_rl,coalition_proposal,12
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8201-nominal-r7301,commercial,nominal,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,doet_rl,coalition_joined,9
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,doet_rl,coalition_proposal,14
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,doet_rl,need,2
