run_id,application,scenario_name,method,method_variant,environment_seed,first_activation_step,disruption_step,pre_disruption_activation,activation_delay_from_disruption,trigger_activations
ablations-commercial-doet_rule-n10-s8301-correlated-vselected,commercial,correlated,doet_rule,selected,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-correlated-vselected,commercial,correlated,doet_rule,selected,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-correlated-vselected,commercial,correlated,doet_rule,selected,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-correlated-vwithout_hysteresis,commercial,correlated,doet_rule,without_hysteresis,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-correlated-vwithout_hysteresis,commercial,correlated,doet_rule,without_hysteresis,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-correlated-vwithout_hysteresis,commercial,correlated,doet_rule,without_hysteresis,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-correlated-vwithout_local_surprisal,commercial,correlated,doet_rule,without_local_surprisal,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-correlated-vwithout_local_surprisal,commercial,correlated,doet_rule,without_local_surprisal,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-correlated-vwithout_local_surprisal,commercial,correlated,doet_rule,without_local_surprisal,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-correlated-vwithout_distributed_gossip,commercial,correlated,doet_rule,without_distributed_gossip,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-correlated-vwithout_distributed_gossip,commercial,correlated,doet_rule,without_distributed_gossip,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-correlated-vwithout_distributed_gossip,commercial,correlated,doet_rule,without_distributed_gossip,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-correlated-vpartition_signal_noise,commercial,correlated,doet_rule,partition_signal_noise,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-correlated-vpartition_signal_noise,commercial,correlated,doet_rule,partition_signal_noise,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-correlated-vpartition_signal_noise,commercial,correlated,doet_rule,partition_signal_noise,8303,,8,False,,0
ablations-commercial-global_entropy_trigger_oracle-n10-s8301-correlated,commercial,correlated,global_entropy_trigger_oracle,base,8301,,8,False,,0
ablations-commercial-global_entropy_trigger_oracle-n10-s8302-correlated,commercial,correlated,global_entropy_trigger_oracle,base,8302,,8,False,,0
ablations-commercial-global_entropy_trigger_oracle-n10-s8303-correlated,commercial,correlated,global_entropy_trigger_oracle,base,8303,,8,False,,0
ablations-commercial-disruption_label_oracle-n10-s8301-correlated,commercial,correlated,disruption_label_oracle,base,8301,0.0,8,True,-8.0,10
ablations-commercial-disruption_label_oracle-n10-s8302-correlated,commercial,correlated,disruption_label_oracle,base,8302,0.0,8,True,-8.0,10
ablations-commercial-disruption_label_oracle-n10-s8303-correlated,commercial,correlated,disruption_label_oracle,base,8303,0.0,8,True,-8.0,10
ablations-commercial-kpi_cusum_trigger-n10-s8301-correlated-vprivate_local_kpi,commercial,correlated,kpi_cusum_trigger,private_local_kpi,8301,0.0,8,True,-8.0,8
ablations-commercial-kpi_cusum_trigger-n10-s8302-correlated-vprivate_local_kpi,commercial,correlated,kpi_cusum_trigger,private_local_kpi,8302,0.0,8,True,-8.0,8
ablations-commercial-kpi_cusum_trigger-n10-s8303-correlated-vprivate_local_kpi,commercial,correlated,kpi_cusum_trigger,private_local_kpi,8303,0.0,8,True,-8.0,8
ablations-commercial-doet_rule-n10-s8301-compound_partition-vselected,commercial,compound_partition,doet_rule,selected,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-compound_partition-vselected,commercial,compound_partition,doet_rule,selected,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-compound_partition-vselected,commercial,compound_partition,doet_rule,selected,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-compound_partition-vwithout_hysteresis,commercial,compound_partition,doet_rule,without_hysteresis,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-compound_partition-vwithout_hysteresis,commercial,compound_partition,doet_rule,without_hysteresis,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-compound_partition-vwithout_hysteresis,commercial,compound_partition,doet_rule,without_hysteresis,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-compound_partition-vwithout_local_surprisal,commercial,compound_partition,doet_rule,without_local_surprisal,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-compound_partition-vwithout_local_surprisal,commercial,compound_partition,doet_rule,without_local_surprisal,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-compound_partition-vwithout_local_surprisal,commercial,compound_partition,doet_rule,without_local_surprisal,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-compound_partition-vwithout_distributed_gossip,commercial,compound_partition,doet_rule,without_distributed_gossip,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-compound_partition-vwithout_distributed_gossip,commercial,compound_partition,doet_rule,without_distributed_gossip,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-compound_partition-vwithout_distributed_gossip,commercial,compound_partition,doet_rule,without_distributed_gossip,8303,,8,False,,0
ablations-commercial-doet_rule-n10-s8301-compound_partition-vpartition_signal_noise,commercial,compound_partition,doet_rule,partition_signal_noise,8301,,8,False,,0
ablations-commercial-doet_rule-n10-s8302-compound_partition-vpartition_signal_noise,commercial,compound_partition,doet_rule,partition_signal_noise,8302,,8,False,,0
ablations-commercial-doet_rule-n10-s8303-compound_partition-vpartition_signal_noise,commercial,compound_partition,doet_rule,partition_signal_noise,8303,,8,False,,0
ablations-commercial-global_entropy_trigger_oracle-n10-s8301-compound_partition,commercial,compound_partition,global_entropy_trigger_oracle,base,8301,,8,False,,0
ablations-commercial-global_entropy_trigger_oracle-n10-s8302-compound_partition,commercial,compound_partition,global_entropy_trigger_oracle,base,8302,,8,False,,0
ablations-commercial-global_entropy_trigger_oracle-n10-s8303-compound_partition,commercial,compound_partition,global_entropy_trigger_oracle,base,8303,,8,False,,0
ablations-commercial-disruption_label_oracle-n10-s8301-compound_partition,commercial,compound_partition,disruption_label_oracle,base,8301,0.0,8,True,-8.0,10
ablations-commercial-disruption_label_oracle-n10-s8302-compound_partition,commercial,compound_partition,disruption_label_oracle,base,8302,0.0,8,True,-8.0,10
