sampling_temperature,coupling_strength,neighbor_field,mean,std,count,se
0.5,0.35,-1,-0.08333333333333333,1.0179547554081032,24,0.20778914433245899
0.5,0.35,0,0.0,1.0215078369104982,24,0.20851441405707474
0.5,0.35,1,0.08333333333333333,1.017954755408103,24,0.20778914433245896
0.5,0.8,-1,-0.08333333333333333,1.0179547554081032,24,0.20778914433245899
0.5,0.8,0,0.0,1.0215078369104982,24,0.20851441405707474
0.5,0.8,1,0.08333333333333333,1.017954755408103,24,0.20778914433245896
0.85,0.35,-1,-0.16666666666666666,1.0072203103706698,24,0.20559798491465375
0.85,0.35,0,-0.08333333333333333,1.0179547554081032,24,0.20778914433245899
0.85,0.35,1,0.08333333333333333,1.017954755408103,24,0.20778914433245896
0.85,0.8,-1,-0.16666666666666666,1.0072203103706696,24,0.20559798491465373
0.85,0.8,0,0.0,1.0215078369104982,24,0.20851441405707474
0.85,0.8,1,0.25,0.9890707100936805,24,0.2018932132718121
