application,panels,message_reduction,message_ci95_low,byte_reduction,byte_ci95_low,harm_degradation,harm_ci95_high,maximum_event_estimation_mae,h3_pass
humanitarian,6,0.37630574958789853,0.358287599350928,0.3797380203339153,0.36096880342847104,0.0,0.0,0.0456391911719509,True
utility_restoration,6,0.40398699597800974,0.3920793793435691,0.40552827455289014,0.39356405880539413,0.0,0.0,0.0496525096497433,True
