actionable_opportunities_event,agent_count_event,allocation_inequality_gini_event,application,autonomous_action_coverage_event,autonomous_beneficial_actions_event,autonomous_harmful_actions_event,autonomous_neutral_actions_event,baseline_calibration_sketch_messages_event,beneficial_actions_event,commitment_failures_event,completed_at_event,complexity,conservation_feasible_event,controller,coupling,critical_shortage_exposure_event,cross_community_messages_event,decision_epochs_event,delivery_completion_event,distributed_estimation_mae_event,dropped_messages_event,eligible_operational_proposals_event,environment_seed,event_count_event,fragmentation,harmful_actions_event,horizon_event,information_actions_event,information_condition,maximum_cascade_depth_event,maximum_conservation_residual_event,net_causal_utility_event,network_disruption,neutral_actions_event,operational_bytes_event,operational_communication_policy,operational_messages_event,operational_node_count_event,operator_escalations_event,operator_executed_actions_event,operator_minutes_event,physical_actions_event,post_disruption_sketch_messages_event,privacy_boundary_pass_event,resource_waste_event,run_id_event,service_loss_event,service_reaching_actions_event,sketch_bytes_event,sketch_messages_event,sketch_policy_event,started_at_event,stochastic_tape_digest_event,time_to_first_critical_delivery_event,topology_family,total_bytes_event,total_messages_event,weighted_unmet_critical_need_event,belief_consensus_recovery_event,cascaded_failures_event,crew_travel_event,crew_utilization_event,repeated_work_orders_event,restoration_time_mean_event,unsafe_switching_or_isolation_event,unserved_critical_load_auc_event,actionable_opportunities_always,agent_count_always,allocation_inequality_gini_always,autonomous_action_coverage_always,autonomous_beneficial_actions_always,autonomous_harmful_actions_always,autonomous_neutral_actions_always,baseline_calibration_sketch_messages_always,beneficial_actions_always,commitment_failures_always,completed_at_always,conservation_feasible_always,critical_shortage_exposure_always,cross_community_messages_always,decision_epochs_always,delivery_completion_always,distributed_estimation_mae_always,dropped_messages_always,eligible_operational_proposals_always,event_count_always,harmful_actions_always,horizon_always,information_actions_always,maximum_cascade_depth_always,maximum_conservation_residual_always,net_causal_utility_always,neutral_actions_always,operational_bytes_always,operational_messages_always,operational_node_count_always,operator_escalations_always,operator_executed_actions_always,operator_minutes_always,physical_actions_always,post_disruption_sketch_messages_always,privacy_boundary_pass_always,resource_waste_always,run_id_always,service_loss_always,service_reaching_actions_always,sketch_bytes_always,sketch_messages_always,sketch_policy_always,started_at_always,stochastic_tape_digest_always,time_to_first_critical_delivery_always,total_bytes_always,total_messages_always,weighted_unmet_critical_need_always,belief_consensus_recovery_always,cascaded_failures_always,crew_travel_always,crew_utilization_always,repeated_work_orders_always,restoration_time_mean_always,unsafe_switching_or_isolation_always,unserved_critical_load_auc_always,message_reduction,byte_reduction,harm_rate_event,harm_rate_always,harm_degradation
236,28,0.4569147585936273,humanitarian,0.6483050847457628,59,90,0,74,59,0.0,2026-08-17T00:28:47.430518+00:00,medium,True,always_act,high,15780.649726367168,778,15,91.4847724437273,0.0411387229530153,752,236,787026,19277,high,90,60,420,private_fragmented,3,4.263256414560601e-14,146.7900903433155,high,0,98639,agent_event_triggered,420,16,0,0,0.0,153,2798,True,5.452634790778045,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-event_triggered-agent_event_triggered,30611.00794850285,56,1282283,3721,event_triggered,2026-08-17T00:28:24.283186+00:00,5ba2447bd338e685db34a45b0be5aeb98acffa6f15315ab2eafead92e078b31e,14.0,modular,1380922,4141,1404.9733903053616,nan,nan,nan,nan,nan,nan,nan,nan,236,28,0.4569147585936273,0.6483050847457628,59,90,0,74,59,0.0,2026-08-17T00:29:15.938482+00:00,True,15780.649726367168,1282,15,91.4847724437273,0.0392032207183573,936,236,26527,90,60,420,3,4.263256414560601e-14,146.7900903433155,0,98639,420,16,0,0,0.0,153,5276,True,5.452634790778045,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-always_on-agent_event_triggered,30611.00794850285,56,2135276,6199,always_on,2026-08-17T00:28:49.319595+00:00,5ba2447bd338e685db34a45b0be5aeb98acffa6f15315ab2eafead92e078b31e,14.0,2233915,6619,1404.9733903053616,nan,nan,nan,nan,nan,nan,nan,nan,0.37437679407765523,0.3818377154009889,0.6040268456375839,0.6040268456375839,0.0
266,28,0.4519549592729914,humanitarian,0.5977443609022557,60,93,0,80,60,0.0,2026-08-17T00:40:12.467068+00:00,medium,True,always_act,high,14723.487103182906,1144,15,81.27436819210259,0.0456391911719509,885,266,787030,20518,high,93,60,420,private_fragmented,3,5.684341886080803e-14,193.75837601146185,high,0,98816,agent_event_triggered,420,16,0,0,0.0,159,3105,True,4.0,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-event_triggered-agent_event_triggered,31856.48950968253,47,1441012,4174,event_triggered,2026-08-17T00:39:47.315362+00:00,8292838724ef87c2bc7b5e114f728733482233994bbe51b08c52af344885c83c,15.0,modular,1539828,4594,1505.7838699593592,nan,nan,nan,nan,nan,nan,nan,nan,266,28,0.4519549592729914,0.5977443609022557,60,93,0,80,60,0.0,2026-08-17T00:40:43.624828+00:00,True,14723.487103182906,1834,15,81.27436819210259,0.0433972408849718,1458,266,28519,93,60,420,3,5.684341886080803e-14,193.75837601146185,0,98816,420,16,0,0,0.0,159,5963,True,4.0,v7-development_formal_communication-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-always_on-agent_event_triggered,31856.48950968253,47,2427642,7032,always_on,2026-08-17T00:40:14.408018+00:00,8292838724ef87c2bc7b5e114f728733482233994bbe51b08c52af344885c83c,15.0,2526458,7452,1505.7838699593592,nan,nan,nan,nan,nan,nan,nan,nan,0.3835212023617821,0.3905190586979874,0.6078431372549019,0.6078431372549019,0.0
261,28,0.4607782799812259,humanitarian,0.6283524904214559,60,101,0,162,60,0.0,2026-08-17T00:31:16.331894+00:00,medium,True,always_act,high,12923.54932403871,12403,15,93.65285230391872,0.0400790265020736,3457,261,787027,51050,high,101,60,420,private_fragmented,3,1.4210854715202006e-13,187.32172193182333,high,0,98752,agent_event_triggered,420,16,0,0,0.0,164,11794,True,2.5,v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-event_triggered-agent_event_triggered,29322.49857555709,53,5223225,15206,event_triggered,2026-08-17T00:30:21.360567+00:00,dd280fde0502c43f203ed7c6011916427cd28a40078a12afc1d29c5a423aa76f,22.0,random_geometric,5321977,15626,1357.2659140187566,nan,nan,nan,nan,nan,nan,nan,nan,261,28,0.4607782799812259,0.6283524904214559,60,101,0,162,60,0.0,2026-08-17T00:32:29.615681+00:00,True,12923.54932403871,19947,15,93.65285230391872,0.0370848422856463,5431,261,77531,101,60,420,3,1.4210854715202006e-13,187.32172193182333,0,98752,420,16,0,0,0.0,164,21279,True,2.5,v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-always_on-agent_event_triggered,29322.49857555709,53,8486504,24691,always_on,2026-08-17T00:31:20.009766+00:00,dd280fde0502c43f203ed7c6011916427cd28a40078a12afc1d29c5a423aa76f,22.0,8585256,25111,1357.2659140187566,nan,nan,nan,nan,nan,nan,nan,nan,0.377722910278364,0.38010270165502347,0.6273291925465838,0.6273291925465838,0.0
259,28,0.4596858732958192,humanitarian,0.6447876447876448,61,102,0,172,61,0.0,2026-08-17T00:34:14.979823+00:00,medium,True,always_act,high,14707.848618397413,11217,15,116.51864640902738,0.0406172528581553,4276,259,787028,48857,high,102,60,420,private_fragmented,3,4.263256414560601e-14,153.37079225479656,high,0,98652,agent_event_triggered,420,16,0,0,0.0,167,13190,True,5.5,v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787028-always_act-event_triggered-agent_event_triggered,30609.58151001094,67,5049508,14746,event_triggered,2026-08-17T00:33:31.792217+00:00,c4d54cb3641d4d1693425daa2e2474d6a738e3e97cc054e628c80ee08992e778,9.0,random_geometric,5148160,15166,1419.3529328630457,nan,nan,nan,nan,nan,nan,nan,nan,259,28,0.4596858732958192,0.6447876447876448,61,102,0,172,61,0.0,2026-08-17T00:35:17.998876+00:00,True,14707.848618397413,18959,15,116.51864640902738,0.0372793400802411,5945,259,78496,102,60,420,3,4.263256414560601e-14,153.37079225479656,0,98652,420,16,0,0,0.0,167,23626,True,5.5,v7-development_formal_communication-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787028-always_act-always_on-agent_event_triggered,30609.58151001094,67,8621434,25182,always_on,2026-08-17T00:34:18.651287+00:00,c4d54cb3641d4d1693425daa2e2474d6a738e3e97cc054e628c80ee08992e778,9.0,8720086,25602,1419.3529328630457,nan,nan,nan,nan,nan,nan,nan,nan,0.40762440434341063,0.40962050144918294,0.6257668711656442,0.6257668711656442,0.0
283,28,0.4589416508850294,humanitarian,0.6643109540636042,74,112,0,168,74,0.0,2026-08-17T00:26:01.264183+00:00,medium,True,always_act,high,12344.521528245514,11321,15,102.98473161276992,0.0354937428240462,3882,283,787025,74471,high,112,60,420,private_fragmented,3,2.700062395888381e-13,216.10589511361604,high,0,98846,agent_event_triggered,420,16,0,0,0.0,188,18693,True,5.5,v7-development_formal_communication-humanitarian-medium-high-high-high-small_world-private_fragmented-787025-always_act-event_triggered-agent_event_triggered,28066.65528606847,60,7935337,23140,event_triggered,2026-08-17T00:24:47.120107+00:00,a26a3deed61515ace41205bea4b96c0341af5e8cf5d7d529644b071ed2558ee1,10.0,small_world,8034183,23560,1307.783914708166,nan,nan,nan,nan,nan,nan,nan,nan,283,28,0.4589416508850294,0.6643109540636042,74,112,0,168,74,0.0,2026-08-17T00:27:40.545292+00:00,True,12344.521528245514,17134,15,102.98473161276992,0.0319179191860536,5561,283,108885,112,60,420,3,2.700062395888381e-13,216.10589511361604,0,98846,420,16,0,0,0.0,188,30724,True,5.5,v7-development_formal_communication-humanitarian-medium-high-high-high-small_world-private_fragmented-787025-always_act-always_on-agent_event_triggered,28066.65528606847,60,12047546,35171,always_on,2026-08-17T00:26:06.408042+00:00,a26a3deed61515ace41205bea4b96c0341af5e8cf5d7d529644b071ed2558ee1,10.0,12146392,35591,1307.783914708166,nan,nan,nan,nan,nan,nan,nan,nan,0.3380348964625889,0.3385539508357708,0.6021505376344086,0.6021505376344086,0.0
267,28,0.45693387427417,humanitarian,0.6479400749063671,64,106,0,168,64,0.0,2026-08-17T00:37:38.024495+00:00,medium,True,always_act,high,15744.248489996728,7724,15,105.16392148970736,0.0397662545049225,4882,267,787029,60078,high,106,60,419,private_fragmented,3,2.8421709430404014e-14,167.49840930066577,high,0,98420,agent_event_triggered,419,16,0,0,0.0,173,14270,True,2.0,v7-development_formal_communication-humanitarian-medium-high-high-high-small_world-private_fragmented-787029-always_act-event_triggered-agent_event_triggered,30952.40223714356,58,6396293,18684,event_triggered,2026-08-17T00:36:33.076046+00:00,5f800b180050063a17437065cfe33c2b9861f1c6bde6443217a67332e347b2a1,12.0,small_world,6494713,19103,1430.4755327308462,nan,nan,nan,nan,nan,nan,nan,nan,267,28,0.45693387427417,0.6479400749063671,64,106,0,168,64,0.0,2026-08-17T00:39:02.583322+00:00,True,15744.248489996728,12376,15,105.16392148970736,0.0365862856276622,7820,267,91754,106,60,419,3,2.8421709430404014e-14,167.49840930066577,0,98420,419,16,0,0,0.0,173,25808,True,2.0,v7-development_formal_communication-humanitarian-medium-high-high-high-small_world-private_fragmented-787029-always_act-always_on-agent_event_triggered,30952.40223714356,58,10339787,30222,always_on,2026-08-17T00:37:42.253302+00:00,5f800b180050063a17437065cfe33c2b9861f1c6bde6443217a67332e347b2a1,12.0,10438207,30641,1430.4755327308462,nan,nan,nan,nan,nan,nan,nan,nan,0.37655429000359,0.37779419396453817,0.6235294117647059,0.6235294117647059,0.0
101,28,nan,utility_restoration,0.9108910891089108,40,29,23,90,40,nan,2026-08-17T00:47:20.047751+00:00,medium,True,always_act,high,nan,2636,15,nan,0.0452021544176159,877,101,787077,22319,high,29,60,274,private_fragmented,3,1.536548666081217e-13,8.061921482137288,high,23,65466,agent_event_triggered,280,16,0,0,0.0,92,4010,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-grid-private_fragmented-787077-always_act-event_triggered-agent_event_triggered,626.8074368720651,18,1795591,5192,event_triggered,2026-08-17T00:46:50.893992+00:00,2d8da995ea4dd315dd3fafd651b0b17da443dcff9dbf7b8817e770f651632e6d,nan,grid,1861057,5472,nan,0.8904359067795016,25.0,19.0,0.0,0.0,20.2,25.0,428.5094823460944,101,28,nan,0.9108910891089108,40,29,23,90,40,nan,2026-08-17T00:47:58.909721+00:00,True,nan,4260,15,nan,0.04278661483305,1265,101,32086,29,60,274,3,1.536548666081217e-13,8.061921482137288,23,65466,280,16,0,0,0.0,92,7395,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-grid-private_fragmented-787077-always_act-always_on-agent_event_triggered,626.8074368720651,18,2959101,8577,always_on,2026-08-17T00:47:22.326197+00:00,2d8da995ea4dd315dd3fafd651b0b17da443dcff9dbf7b8817e770f651632e6d,nan,3024567,8857,nan,0.8904359067795016,25.0,19.0,0.0,0.0,20.2,25.0,428.5094823460944,0.3821835836061872,0.38468646917062843,0.31521739130434784,0.31521739130434784,0.0
131,28,nan,utility_restoration,0.8702290076335878,57,37,20,90,57,nan,2026-08-17T00:49:18.726279+00:00,medium,True,always_act,high,nan,2656,15,nan,0.0432852873967094,728,131,787078,22765,high,37,60,277,private_fragmented,3,9.769962616701379e-14,7.759032079349682,high,20,66921,agent_event_triggered,284,16,0,0,0.0,114,4124,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-grid-private_fragmented-787078-always_act-event_triggered-agent_event_triggered,816.5170724252396,17,1833952,5271,event_triggered,2026-08-17T00:48:47.835966+00:00,4e4a547e8eb863c60e1a5bde2ddf5f3e4213bf0bfc1c4715602c63744702aa45,nan,grid,1900873,5555,nan,0.86612652193849,18.0,21.0,0.0,1.0,16.0,35.0,362.218467798298,131,28,nan,0.8702290076335878,57,37,20,90,57,nan,2026-08-17T00:50:00.299359+00:00,True,nan,4573,15,nan,0.0393817453885609,914,131,34636,37,60,277,3,9.769962616701379e-14,7.759032079349682,20,66921,284,16,0,0,0.0,114,8143,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-grid-private_fragmented-787078-always_act-always_on-agent_event_triggered,816.5170724252396,17,3216033,9290,always_on,2026-08-17T00:49:21.108883+00:00,4e4a547e8eb863c60e1a5bde2ddf5f3e4213bf0bfc1c4715602c63744702aa45,nan,3282954,9574,nan,0.86612652193849,18.0,21.0,0.0,1.0,16.0,35.0,362.218467798298,0.41978274493419676,0.42098701352501433,0.32456140350877194,0.32456140350877194,0.0
137,28,nan,utility_restoration,0.8248175182481752,51,42,20,88,51,nan,2026-08-17T00:45:29.255017+00:00,medium,True,always_act,high,nan,1004,15,nan,0.0478813864006842,857,137,787076,22513,high,42,60,293,private_fragmented,3,7.993605777301127e-14,5.302260656669408,high,20,71840,agent_event_triggered,305,16,0,0,0.0,113,4169,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-modular-private_fragmented-787076-always_act-event_triggered-agent_event_triggered,700.2926291944291,13,1809111,5207,event_triggered,2026-08-17T00:45:01.059846+00:00,2059e471918d7b244a7515a483c2ba04247c18c8cad6b10a253a3bb3ae1654df,nan,modular,1880951,5512,nan,0.7966111708815529,9.0,19.0,0.0,1.0,14.0,41.0,196.3708249843668,137,28,nan,0.8248175182481752,51,42,20,88,51,nan,2026-08-17T00:46:07.597955+00:00,True,nan,1701,15,nan,0.0434465506609609,999,137,33963,42,60,293,3,7.993605777301127e-14,5.302260656669408,20,71840,305,16,0,0,0.0,113,8033,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-modular-private_fragmented-787076-always_act-always_on-agent_event_triggered,700.2926291944291,13,3140441,9071,always_on,2026-08-17T00:45:31.671321+00:00,2059e471918d7b244a7515a483c2ba04247c18c8cad6b10a253a3bb3ae1654df,nan,3212281,9376,nan,0.7966111708815529,9.0,19.0,0.0,1.0,14.0,41.0,196.3708249843668,0.41211604095563137,0.41445004344265024,0.37168141592920356,0.37168141592920356,0.0
110,28,nan,utility_restoration,0.9,44,38,17,76,44,nan,2026-08-17T00:55:41.039127+00:00,medium,True,always_act,high,nan,811,15,nan,0.0496525096497433,995,110,787080,16975,high,38,60,274,private_fragmented,3,7.993605777301127e-14,5.927542640729728,high,17,65352,agent_event_triggered,279,16,0,0,0.0,99,3040,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-modular-private_fragmented-787080-always_act-event_triggered-agent_event_triggered,727.669755403934,16,1199631,3449,event_triggered,2026-08-17T00:55:18.716194+00:00,329bc7b45af3a98301269c3f67647dffe5f5e0bc22d73fccbd6e46350940f430,nan,modular,1264983,3728,nan,0.8581474357137799,13.0,15.0,0.0,0.0,21.0,34.0,431.6295303672641,110,28,nan,0.9,44,38,17,76,44,nan,2026-08-17T00:56:10.192825+00:00,True,nan,1347,15,nan,0.0468138425484303,1463,110,24025,38,60,274,3,7.993605777301127e-14,5.927542640729728,17,65352,279,16,0,0,0.0,99,5546,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-modular-private_fragmented-787080-always_act-always_on-agent_event_triggered,727.669755403934,16,2067992,5955,always_on,2026-08-17T00:55:42.964187+00:00,329bc7b45af3a98301269c3f67647dffe5f5e0bc22d73fccbd6e46350940f430,nan,2133344,6234,nan,0.8581474357137799,13.0,15.0,0.0,0.0,21.0,34.0,431.6295303672641,0.40198909207571387,0.4070421835390823,0.3838383838383838,0.3838383838383838,0.0
182,28,nan,utility_restoration,0.7472527472527473,69,32,35,150,69,nan,2026-08-17T00:42:51.252247+00:00,medium,True,always_act,high,nan,15515,15,nan,0.0403748520127834,5488,182,787075,62235,high,32,60,270,private_fragmented,3,1.536548666081217e-13,21.56718709710432,high,35,68264,agent_event_triggered,293,16,0,0,0.0,136,15949,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-scale_free-private_fragmented-787075-always_act-event_triggered-agent_event_triggered,1176.3526423086432,15,6870881,19990,event_triggered,2026-08-17T00:41:52.596320+00:00,44f8b8c835cf06387f688e33d146b7996c73a2db15d4a0d6cd406843a56bfad9,nan,scale_free,6939145,20283,nan,0.9049878410084196,24.0,19.0,0.0,0.0,16.333333333333332,30.0,637.7873605429276,182,28,nan,0.7472527472527473,69,32,35,150,69,nan,2026-08-17T00:44:16.580114+00:00,True,nan,26719,15,nan,0.0350781568246124,7833,182,104020,32,60,270,3,1.536548666081217e-13,21.56718709710432,35,68264,293,16,0,0,0.0,136,30659,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-scale_free-private_fragmented-787075-always_act-always_on-agent_event_triggered,1176.3526423086432,15,11899312,34700,always_on,2026-08-17T00:42:55.577145+00:00,44f8b8c835cf06387f688e33d146b7996c73a2db15d4a0d6cd406843a56bfad9,nan,11967576,34993,nan,0.9049878410084196,24.0,19.0,0.0,0.0,16.333333333333332,30.0,637.7873605429276,0.4203697882433629,0.4201712193012186,0.23529411764705882,0.23529411764705882,0.0
138,28,nan,utility_restoration,0.6956521739130435,34,39,23,150,34,nan,2026-08-17T00:52:46.491197+00:00,medium,True,always_act,high,nan,16459,15,nan,0.0352584362077828,5437,138,787079,69273,high,39,60,270,private_fragmented,3,9.059419880941277e-14,1.2445359182035616,high,23,65609,agent_event_triggered,280,16,0,0,0.0,96,17652,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-scale_free-private_fragmented-787079-always_act-event_triggered-agent_event_triggered,701.5450818233833,10,7773831,22363,event_triggered,2026-08-17T00:51:29.566943+00:00,743d38928b141a18595499e5c58bd686f33cd630d3c9900e15dabb670e2d886b,nan,scale_free,7839440,22643,nan,0.8918944220714977,15.0,19.0,0.0,0.0,13.666666666666666,36.0,256.5709871209364,138,28,nan,0.6956521739130435,34,39,23,150,34,nan,2026-08-17T00:54:35.213757+00:00,True,nan,26880,15,nan,0.0303329527200731,7332,138,110350,39,60,270,3,9.059419880941277e-14,1.2445359182035616,23,65609,280,16,0,0,0.0,96,31976,True,nan,v7-development_formal_communication-utility_restoration-medium-high-high-high-scale_free-private_fragmented-787079-always_act-always_on-agent_event_triggered,701.5450818233833,10,12698731,36687,always_on,2026-08-17T00:52:52.078977+00:00,743d38928b141a18595499e5c58bd686f33cd630d3c9900e15dabb670e2d886b,nan,12764340,36967,nan,0.8918944220714977,15.0,19.0,0.0,0.0,13.666666666666666,36.0,256.5709871209364,0.38748072605296613,0.3858327183387469,0.40625,0.40625,0.0
