run_id,application,regime,information_condition,method,environment_seed,operator_seed,rl_seed,status,primary_outcome,service_loss_auc,cumulative_weighted_unmet_need,cumulative_critical_unserved_load,operator_interventions,operator_minutes,operator_workload_auc,maximum_operator_workload,mean_queue_wait_steps,maximum_queue_length,operator_requests,low_confidence_operator_decisions,safe_low_confidence_decisions,safe_low_confidence_decision_rate,communication_active_agent_epoch_fraction,timely_activation,missed_activation,pre_disruption_false_activation,nominal_false_activation,first_request_step,first_visible_collapse_step,complete_causal_chains,harmful_interventions,beneficial_interventions,mean_counterfactual_effect,structured_attempts,first_pass_valid,valid_after_repair,material_actions_accepted,material_actions_next_stage,material_actions_reached_service,commitment_changes,agent_messages,agent_message_bytes,thermodynamic_sketch_messages,thermodynamic_sketch_bytes,tool_calls,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,wall_clock_seconds,maximum_conservation_residual,conservation_feasible,active_incidents
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24001-o124001-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24001,124001,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.1603327079792507,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24002-o124002-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24002,124002,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.1563753709779121,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24003-o124003-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24003,124003,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.16054582002107054,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24004-o124004-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24004,124004,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.16786472202511504,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24005-o124005-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24005,124005,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.15745779796270654,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24006-o124006-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24006,124006,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.15829498798120767,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24007-o124007-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24007,124007,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.16432240803260356,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24008-o124008-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24008,124008,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.16137805400649086,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24009-o124009-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24009,124009,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.19075157900806516,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24010-o124010-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24010,124010,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.15761861600913107,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24011-o124011-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24011,124011,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.16184789297403768,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-private_fragmented-e24012-o124012-rnone,commercial,nominal,private_fragmented,autonomy_no_operator,24012,124012,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.1771122650243342,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-globally_public-e24001-o124001-rnone,commercial,nominal,globally_public,autonomy_no_operator,24001,124001,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.16261972102802247,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-globally_public-e24002-o124002-rnone,commercial,nominal,globally_public,autonomy_no_operator,24002,124002,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.1570021589868702,0.0,True,0
development_gate_monitoring-commercial-autonomy_no_operator-nominal-globally_public-e24003-o124003-rnone,commercial,nominal,globally_public,autonomy_no_operator,24003,124003,,complete,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,False,False,False,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,600,130260,0,0,0,0,0.0,0.1561435250332579,0.0,True,0
