private_field,neighbor_field,coupling_strength,probability_plus,n
-1,-1,0.35,0.25,32
-1,-1,0.8,0.25,32
-1,0,0.35,0.25,32
-1,0,0.8,0.25,32
-1,1,0.35,0.28125,32
-1,1,0.8,0.25,32
0,-1,0.35,0.40625,32
0,-1,0.8,0.375,32
0,0,0.35,0.46875,32
0,0,0.8,0.46875,32
0,1,0.35,0.625,32
0,1,0.8,0.625,32
1,-1,0.35,0.75,32
1,-1,0.8,0.75,32
1,0,0.35,0.75,32
1,0,0.8,0.75,32
1,1,0.35,0.75,32
1,1,0.8,0.75,32
