condition,update,sweep,beliefs,actions,belief_magnetization,action_magnetization,belief_disagreement,reference_energy_per_agent,messages_delivered
reciprocal,0,0.125,-1;1;-1;-1;1;1;-1;1,-1;1;1;-1;-1;1;-1;1,0.0,0.0,0.75,-0.4875,1
reciprocal,1,0.25,-1;1;-1;-1;1;1;-1;1,-1;1;1;-1;-1;1;-1;1,0.0,0.0,0.75,-0.4875,1
reciprocal,2,0.375,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,3,0.5,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,4,0.625,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,5,0.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,6,0.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,7,1.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,8,1.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,9,1.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,10,1.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,11,1.5,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
reciprocal,12,1.625,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
reciprocal,13,1.75,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
reciprocal,14,1.875,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
reciprocal,15,2.0,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
reciprocal,16,2.125,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
reciprocal,17,2.25,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
reciprocal,18,2.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,19,2.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,20,2.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,21,2.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,22,2.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,23,3.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,24,3.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,25,3.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,26,3.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,27,3.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,28,3.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,29,3.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,30,3.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,31,4.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
