regime,current_belief,neighbor_field,belief_switch_rate,action_switch_rate,n
markovized,-1,-1,0.16666666666666666,0.6458333333333334,48
markovized,-1,0,0.16666666666666666,0.5833333333333334,48
markovized,-1,1,0.2708333333333333,0.6041666666666666,48
markovized,1,-1,0.25,0.625,48
markovized,1,0,0.22916666666666666,0.5625,48
markovized,1,1,0.16666666666666666,0.5416666666666666,48
persistent_memory,-1,-1,0.16666666666666666,0.5833333333333334,48
persistent_memory,-1,0,0.1875,0.6041666666666666,48
persistent_memory,-1,1,0.25,0.6041666666666666,48
persistent_memory,1,-1,0.22916666666666666,0.5625,48
persistent_memory,1,0,0.16666666666666666,0.4583333333333333,48
persistent_memory,1,1,0.16666666666666666,0.4583333333333333,48
